### Soil physical properties (required) and chemical properties (optional) lookup table ##
### Reference: Arnold, J.G., Kiniry, J.R., Srinivasan, R., Williams, J.R., Haney, E.B., Neitsch, S.L., 2013. SWAT 2012 Input/Output Documentation.
### Variable Name   Definition
### SEQN            (required) Sequence number of soil catogory
### SNAM            (required) Soil name
### SOILLAYERS      (required) Soil layers number
### SOL_Z           (required, multi-values) Depth from soil surface to bottom of layer (mm)
### SOL_BD          (required, multi-values) Moist bulk density (Mg/m3 or g/cm3)
### SOL_AWC         (required, multi-values) Available water capacity
### SOL_ZMX         (optional) Maximum rooting depth of soil profile(mm)
### SOL_K           (optional, multi-values) Saturated hydraulic conductivity (mm/hr)
### ... (and other detailed SEIMS/SWAT format properties)
SEQN,SNAM,SOILLAYERS,SOL_ZMX,SOL_Z,SOL_BD,SOL_OM,SOL_CLAY,SOL_SILT,SOL_SAND,SOL_ROCK,SOL_WP,SOL_FC,SOL_POROSITY,SOL_K,SOL_AWC,SOL_NO3,SOL_NH4,SOL_ORGN,SOL_SOLP,SOL_ORGP
1,2671432,7,1550.0,30.0-180.0-280.0-610.0-840.0-990.0-1550.0,1.05-1.05-1.1-1.15-1.2-1.5-1.5,75.174-5.012-4.009-3.007-2.005-0.251-0.251,31-31-31-31-26-2-2,34-34-34-34-39-13-13,35-35-35-35-35-85-85,0.0-15.0-15.0-30.0-30.0-25.0-25.0,-9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999,0.925-0.604-0.585-0.566-0.547-0.434-0.434,1440.0-28.8-28.8-28.8-144.0-900.0-900.0,0.2-0.16-0.16-0.16-0.14-0.02-0.02,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0
2,2671433,6,1500.0,200.0-340.0-560.0-790.0-1090.0-1500.0,0.8-0.8-1.05-1.15-1.2-1.5,6.014-6.014-3.007-2.005-0.752-0.251,13.0-13.0-14.0-14.0-13.0-5.0,62.0-57.0-46.0-46.0-47.0-5.0,25.0-30.0-40.0-40.0-40.0-90.0,0.0-0.0-0.0-0.0-0.0-45.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.698-0.698-0.604-0.566-0.547-0.434,180.0-180.0-144.0-144.0-144.0-900.0,0.33-0.33-0.19-0.18-0.17-0.02,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
3,2671434,8,1400.0,30.0-50.0-150.0-300.0-430.0-560.0-1070.0-1400.0,0.85-0.85-0.85-0.85-1.15-1.2-1.25-1.25,75.174-75.174-6.014-6.014-3.007-2.005-1.503-0.752,21-21-21-23-27-28-28-22,37-37-37-35-35-34-34-45,42-42-42-42-38-38-38-33,0.0-0.0-15.0-20.0-20.0-20.0-20.0-20.0,-9999--9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999--9999,0.925-0.925-0.679-0.679-0.566-0.547-0.528-0.528,1440.0-1440.0-270.0-270.0-28.8-28.8-28.8-144.0,0.2-0.45-0.2-0.2-0.11-0.11-0.1-0.11,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0
4,2671435,6,1500.0,40.0-240.0-430.0-670.0-1050.0-1500.0,0.85-0.85-1.05-1.15-1.2-1.3,75.174-6.014-5.012-3.007-2.005-0.752,18-18-18-24-30-34,42-42-42-46-45-46,40-40-40-30-25-20,0.0-10.0-5.0-10.0-15.0-10.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.679-0.604-0.566-0.547-0.509,1440.0-270.0-144.0-72.0-28.8-28.8,0.2-0.21-0.15-0.16-0.16-0.15,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
5,2671437,8,1400.0,30.0-50.0-150.0-300.0-430.0-560.0-1070.0-1400.0,0.85-0.85-0.85-0.85-1.15-1.2-1.25-1.25,75.174-75.174-6.014-6.014-3.007-2.005-1.503-0.752,21-21-21-23-27-28-28-22,37-37-37-35-35-34-34-45,42-42-42-42-38-38-38-33,0.0-0.0-15.0-20.0-20.0-20.0-20.0-20.0,-9999--9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999--9999,0.925-0.925-0.679-0.679-0.566-0.547-0.528-0.528,1440.0-1440.0-270.0-270.0-28.8-28.8-28.8-144.0,0.2-0.45-0.2-0.2-0.11-0.11-0.1-0.11,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0
6,2671438,8,1400.0,30.0-50.0-150.0-300.0-430.0-560.0-1070.0-1400.0,0.85-0.85-0.85-0.85-1.15-1.2-1.25-1.25,75.174-75.174-6.014-6.014-3.007-2.005-1.503-0.752,21-21-21-23-27-28-28-22,37-37-37-35-35-34-34-45,42-42-42-42-38-38-38-33,0.0-0.0-15.0-20.0-20.0-20.0-20.0-20.0,-9999--9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999--9999,0.925-0.925-0.679-0.679-0.566-0.547-0.528-0.528,1440.0-1440.0-270.0-270.0-28.8-28.8-28.8-144.0,0.2-0.45-0.2-0.2-0.11-0.11-0.1-0.11,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0
7,2671440,7,1630.0,80.0-100.0-250.0-410.0-690.0-970.0-1630.0,0.85-0.85-0.85-0.85-0.95-1.2-1.2,75.174-75.174-6.014-5.012-2.506-0.752-0.752,19-19-19-20-20-20-18,39-39-39-40-45-45-47,42-42-42-40-35-35-35,0.0-0.0-20.0-25.0-10.0-15.0-15.0,-9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999,0.925-0.925-0.679-0.679-0.642-0.547-0.547,1440.0-1440.0-270.0-270.0-144.0-144.0-144.0,0.2-0.3-0.19-0.2-0.1-0.08-0.08,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0
8,2671441,7,1630.0,80.0-100.0-250.0-410.0-690.0-970.0-1630.0,0.85-0.85-0.85-0.85-0.95-1.2-1.2,75.174-75.174-6.014-5.012-2.506-0.752-0.752,19-19-19-20-20-20-18,39-39-39-40-45-45-47,42-42-42-40-35-35-35,0.0-0.0-20.0-25.0-10.0-15.0-15.0,-9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999,0.925-0.925-0.679-0.679-0.642-0.547-0.547,1440.0-1440.0-270.0-270.0-144.0-144.0-144.0,0.2-0.3-0.19-0.2-0.1-0.08-0.08,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0
9,2671446,5,1500.0,100.0-200.0-650.0-950.0-1500.0,0.65-0.65-0.7-1.1-1.25,75.174-7.016-6.014-4.009-2.005,24-24-24-32-32,41-41-41-50-43,35-35-35-18-25,0.0-5.0-5.0-15.0-15.0,-9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999,0.925-0.755-0.736-0.585-0.528,1440.0-270.0-270.0-28.8-10.8,0.2-0.25-0.26-0.19-0.14,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0
10,2671448,6,1500.0,60.0-130.0-380.0-600.0-880.0-1500.0,0.75-0.75-0.8-1.0-1.05-1.1,75.174-7.016-7.016-4.009-3.508-2.005,20-20-22-26-24-24,60-60-58-54-56-56,20-20-20-20-20-20,0.0-30.0-30.0-30.0-30.0-30.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.717-0.698-0.623-0.604-0.585,1440.0-180.0-180.0-72.0-72.0-72.0,0.3-0.26-0.26-0.2-0.2-0.18,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
