StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58321	2010	1	1	3.5	8.6	-0.8	69	1.9	4.7 
58321	2010	1	2	5.4	12.8	-0.5	75	1.6	7.2 
58321	2010	1	3	4.7	10.6	1	86	2.9	5.5 
58321	2010	1	4	2.4	5.3	1.1	63	3.4	6.7 
58321	2010	1	5	-1.5	1.2	-3.9	42	3.1	5.2 
58321	2010	1	6	-0.5	4	-3.8	53	1.9	7.7 
58321	2010	1	7	-0.7	0.9	-2.8	55	1.7	3.7 
58321	2010	1	8	0.7	3.4	-0.3	54	1.5	3.8 
58321	2010	1	9	3	8	-1.8	71	2	6.8 
58321	2010	1	10	1.9	5.4	0.3	85	2.8	3.8 
58321	2010	1	11	1.2	3.5	0.2	64	2.7	3.9 
58321	2010	1	12	1.1	8.7	-4.7	63	2.2	8.4 
58321	2010	1	13	-1.5	5.5	-5.4	33	2.5	8.8 
58321	2010	1	14	3.1	11.6	-3.4	56	2.1	8.8 
58321	2010	1	15	3	4.7	-0.4	56	2.6	4.0 
58321	2010	1	16	3.5	7	1.7	67	1.1	5.4 
58321	2010	1	17	4.2	10.6	-1.3	77	1.7	8.5 
58321	2010	1	18	6.9	14.3	1.5	77	1.4	8.5 
58321	2010	1	19	9.7	13.8	5.5	80	2.3	5.9 
58321	2010	1	20	10.2	12.4	7.9	76	2.9	4.3 
58321	2010	1	21	1.4	8	-1.6	68	3.5	6.1 
58321	2010	1	22	1.5	4.8	-0.2	62	0.9	4.4 
58321	2010	1	23	2.2	6.8	-0.8	58	0.6	8.2 
58321	2010	1	24	4.4	7.5	0.1	67	1.2	4.5 
58321	2010	1	25	4.3	8.5	2.1	60	2.3	9.4 
58321	2010	1	26	4	9.8	-2.3	55	2.4	9.9 
58321	2010	1	27	6.5	9.8	5.2	86	1.5	4.6 
58321	2010	1	28	6.5	12.4	2.3	79	1.4	8.8 
58321	2010	1	29	7.1	13.8	1.2	67	1.4	9.4 
58321	2010	1	30	8.6	11.4	6.9	81	1.4	4.8 
58321	2010	1	31	8.5	10.6	7.4	90	2.1	4.9 
58321	2010	2	1	6.7	8.7	5.5	86	1.2	4.9 
58321	2010	2	2	5.7	7.1	4.9	77	2.3	5.0 
58321	2010	2	3	5	7.8	2.1	77	2	5.1 
58321	2010	2	4	5.9	8.3	3.4	79	2	5.1 
58321	2010	2	5	6.7	8.2	5.2	78	2.2	5.2 
58321	2010	2	6	6.8	7.8	5.8	83	3.6	5.2 
58321	2010	2	7	7.5	10.2	6.2	90	1.4	5.3 
58321	2010	2	8	11	15.3	7.7	85	2	9.5 
58321	2010	2	9	10.1	13.5	8.4	95	2.1	5.4 
58321	2010	2	10	3.8	8.5	1.4	92	4.4	5.5 
58321	2010	2	11	-1.7	1.7	-2.8	81	4.5	5.6 
58321	2010	2	12	-1.8	1.3	-4.2	64	1.7	12.5 
58321	2010	2	13	-0.8	2.1	-4.4	61	2.8	10.9 
58321	2010	2	14	0.1	1.3	-0.9	94	2.9	5.8 
58321	2010	2	15	1.2	2.6	-0.1	79	2.7	5.8 
58321	2010	2	16	0.2	2.6	-2.2	73	1.6	8.4 
58321	2010	2	17	0.8	5.4	-2.5	82	1.7	9.2 
58321	2010	2	18	2.2	8.6	-2.3	70	1.7	14.0 
58321	2010	2	19	5	11.7	-2.1	57	2.1	15.4 
58321	2010	2	20	7.8	15.1	1	59	2.5	15.6 
58321	2010	2	21	10.5	18.7	4.2	61	1.8	15.6 
58321	2010	2	22	11.4	21	5.3	65	0.7	13.0 
58321	2010	2	23	13.4	21.1	7.2	68	2.1	12.7 
58321	2010	2	24	16.5	20.6	12.1	74	2.3	7.5 
58321	2010	2	25	13.8	18	10.3	90	2.2	6.5 
58321	2010	2	26	7.4	10.4	6.7	93	2.2	6.6 
58321	2010	2	27	8.5	10.9	6.7	83	1.4	6.6 
58321	2010	2	28	11.4	15.5	9.1	86	4.3	9.3 
58321	2010	3	1	4.3	12.1	3.3	90	3.2	6.8 
58321	2010	3	2	4.6	5.8	3.8	90	2.5	6.8 
58321	2010	3	3	4.2	4.9	3.1	93	3	6.9 
58321	2010	3	4	4.4	5.5	3.3	91	1.6	6.9 
58321	2010	3	5	5.4	6	4.7	91	2.8	7.0 
