Y	M	D	62903180	62915310	62922800	62942717	62942747
2010	1	1	0	0	0	0	0
2010	1	2	0	0	0	0	0
2010	1	3	0	0	0	0	0
2010	1	4	0	0	0	0	0
2010	1	5	0	0	0	0	0
2010	1	6	0	0	0	0	0
2010	1	7	0	0	0	0	0
2010	1	8	0	0	0	0	0
2010	1	9	0	0	0	0	0
2010	1	10	0	1	1.5	0.8	0.8
2010	1	11	0	1	0.5	0.5	0.5
2010	1	12	0	0	0	0	0
2010	1	13	0	0	0	0	0
2010	1	14	0	0	0	0	0
2010	1	15	0	0	0	0	0
2010	1	16	0	0	0	0	0
2010	1	17	0	0	0	0	0
2010	1	18	0	0	0	0	0
2010	1	19	0	0	0	0	0
2010	1	20	0	0	0	0	0
2010	1	21	0	0	1.5	0.5	0.5
2010	1	22	0	0	0	0	0
2010	1	23	0	0	0	0	0
2010	1	24	0	0.5	0.5	0.3	0.3
2010	1	25	0	0	0	0	0
2010	1	26	0	0	0	0	0
2010	1	27	1.5	0.5	2.5	1.5	1.5
2010	1	28	0	0.5	0	0.2	0.2
2010	1	29	0	0	0	0	0
2010	1	30	4	3.5	4.5	4	4
2010	1	31	7	8	7.5	7.5	7.5
2010	2	1	1	2	2.5	1.8	1.8
2010	2	2	0	0	0	0	0
2010	2	3	0	0	0	0	0
2010	2	4	0	0	0	0	0
2010	2	5	0	0	0	0	0
2010	2	6	0	0.5	0	0.2	0.2
2010	2	7	0	0	0	0	0
2010	2	8	0	0	0	0	0
2010	2	9	6.5	9	4.5	6.7	6.7
2010	2	10	11.5	26	23	20.2	20.2
2010	2	11	0	0.5	2	0.8	0.8
2010	2	12	2.5	7.5	7	5.7	5.7
2010	2	13	0	2	2	1.3	1.3
2010	2	14	0.5	4.5	4.5	3.2	3.2
2010	2	15	0	3	3.5	2.2	2.2
2010	2	16	0	3.5	3.5	2.3	2.3
2010	2	17	0	1	1.5	0.8	0.8
2010	2	18	0	0	0	0	0
2010	2	19	0	0	0	0	0
2010	2	20	0	0	0	0	0
2010	2	21	0	0	0	0	0
2010	2	22	0	0	0	0	0
2010	2	23	0	0	0	0	0
2010	2	24	0	0	0	0	0
2010	2	25	4	7	8.5	6.5	6.5
2010	2	26	1	1.5	1.5	1.3	1.3
2010	2	27	0	0	0	0	0
2010	2	28	3	5	4	4	4
2010	3	1	0.5	0.5	0.5	0.5	0.5
2010	3	2	15	14.5	16	15.2	15.2
2010	3	3	11.5	20	17.5	16.3	16.3
2010	3	4	0	0.5	0.5	0.3	0.3
2010	3	5	7.5	14.5	18.5	13.5	13.5
2010	3	6	0	2	3.5	1.8	1.8
2010	3	7	0	9	4.5	4.5	4.5
2010	3	8	0	0	0	0	0
