SUBSCENARIO,NAME,PTSRC,SEQUENCE,SYear,SMonth,SDay,EYear,EMonth,EDay,Q,SED,TN,NO3,NH4,ORGN,TP,SOLP,ORGP,COD,CAPEX,OPEX,INCOME
10001,trad_cattle,10000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.25,0,286.25,16.52,268.08,1.65,41.73,3.79,37.94,1015.81,0,0,0
10002,trad_cattle2,10000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.55,0,286.25,16.52,268.08,1.65,41.73,3.79,37.94,2031.62,0,0,0
10004,trad_cattle3,10000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.55,0,286.25,16.52,268.08,1.65,41.73,3.79,37.94,1015.81,0,0,0
10003,mgt_cattle,10000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.0125,0,2.95,1.04,1.81,0.10,0.54,0.05,0.49,44.81,0,0,0
20001,trad_pig,20000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.04,0,393,87.26,297.01,8.73,69.26,6.30,62.96,1767.81,0,0,0
20002,trad_pig2,20000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.05,0,393,87.26,297.01,8.73,69.26,6.30,62.96,3535.62,0,0,0
20004,trad_pig3,20000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.09,0,393,87.26,297.01,8.73,69.26,6.30,62.96,1767.81,0,0,0
20003,mgt_pig,20000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.001,0,45.14,17.08,26.35,1.71,3.8,0.35,3.45,72.51,0,0,0
40001,trad_sew_QianLiuPark,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.05,0,41.61,11.86,28.56,1.19,2.51,0.23,2.28,261.39,0,0,0
40002,trad_sew_PaiFangSchool,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.05,0,29.08,7.34,21.01,0.73,2.02,0.18,1.84,128.71,0,0,0
40003,trad_sew_SanWangCun,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.1,0,37.16,10.13,26.01,1.01,2.46,0.22,2.24,108.64,0,0,0
40004,trad_sew_ShengQuanSchool,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.04,0,38.8,10.58,27.16,1.06,5.77,0.52,5.25,387.33,0,0,0
40005,mgt_sew_QianLiuPark,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.05,0,8.78,2.39,6.15,0.24,0.73,0.07,0.66,39.21,0,0,0
40006,mgt_sew_PaiFangSchool,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.05,0,3.73,2.31,1.19,0.23,0.51,0.05,0.46,33.98,0,0,0
40007,mgt_sew_SanWangCun,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.1,0,4.7,3.88,0.43,0.39,0.31,0.03,0.28,28.34,0,0,0
40008,mgt_sew_ShengQuanSchool,40000,0,-9999,-9999,-9999,-9999,-9999,-9999,0.04,0,9.6,7.85,0.96,0.79,0.95,0.09,0.86,60,0,0,0
