SUBSCENARIO,NAME,LANDUSE_ID,SEQUENCE,YEAR,MONTH,DAY,BASE_HU,HUSC,MGT_OP,MGT1,MGT2,MGT3,MGT4,MGT5,MGT6,MGT7,MGT8,MGT9,MGT10
0,RICE_Paddy_Crop_rotation,33,1,1,5,1,1,0.19,13,0,50,10,30,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,2,1,5,1,1,0.19,10,1,1,0,0.5,1,50,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,3,1,5,5,1,0.2,1,33,0,0,2000,0.2,20,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,4,1,5,8,0,0.01,3,55,0,0,975,0.01,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,5,1,5,20,0,0.1,13,0,70,20,50,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,6,1,5,20,0,0.1,10,2,1,0,0.6,0.8,70,0.2,0,0,0
0,RICE_Paddy_Crop_rotation,33,7,1,6,20,0,0.25,13,1,0,0,0,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,8,1,7,10,0,0.5,13,0,120,30,60,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,9,1,7,10,0,0.5,10,2,1,0,0.6,0.8,120,0.2,0,0,0
0,RICE_Paddy_Crop_rotation,33,10,1,7,11,0,0.51,3,4,0,0,180,0.01,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,11,1,8,5,0,0.7,13,0,100,0,0,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,12,1,8,5,0,0.7,10,2,1,0,0.6,0.8,100,0.2,0,0,0
0,RICE_Paddy_Crop_rotation,33,13,1,8,6,0,0.72,3,4,0,0,120,0.01,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,14,1,8,20,0,0.8,13,0,50,10,30,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,15,1,8,20,0,0.8,10,2,1,0,0.6,0.8,0,0.2,0,0,0
0,RICE_Paddy_Crop_rotation,33,16,1,9,1,0,0.97,13,1,0,0,0,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,17,1,9,10,0,1.05,5,0,0,0,0,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,18,1,9,25,1,0.84,6,1,0,0,0,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,19,1,9,28,1,0.85,1,28,0,0,1700,0,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,20,1,9,28,0,0.01,3,55,0,0,750,0.01,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,21,2,11,10,0,0.3,10,1,1,0,0.5,0.5,50,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,22,2,3,10,0,0.6,3,4,0,0,225,0.01,0,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,23,2,4,10,0,0.8,10,1,1,0,0.5,0.5,50,0,0,0,0
0,RICE_Paddy_Crop_rotation,33,24,2,5,1,0,1.05,5,0,0,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,1,1,5,1,1,0.19,13,0,50,10,30,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,2,1,5,1,1,0.19,10,1,1,0,0.5,1,50,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,3,1,5,5,1,0.2,1,33,0,0,2000,0.2,20,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,4,1,5,8,0,0.01,3,55,0,0,975,0.01,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,5,1,5,20,0,0.1,13,0,70,20,50,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,6,1,5,20,0,0.1,10,2,1,0,0.6,0.8,70,0.2,0,0,0
1,RICE_Paddy_Crop_rotation,1,7,1,6,20,0,0.25,13,1,0,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,8,1,7,10,0,0.5,13,0,120,30,60,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,9,1,7,10,0,0.5,10,2,1,0,0.6,0.8,120,0.2,0,0,0
1,RICE_Paddy_Crop_rotation,1,10,1,7,11,0,0.51,3,4,0,0,180,0.01,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,11,1,8,5,0,0.7,13,0,100,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,12,1,8,5,0,0.7,10,2,1,0,0.6,0.8,100,0.2,0,0,0
1,RICE_Paddy_Crop_rotation,1,13,1,8,6,0,0.72,3,4,0,0,120,0.01,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,14,1,8,20,0,0.8,13,0,50,10,30,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,15,1,8,20,0,0.8,10,2,1,0,0.6,0.8,0,0.2,0,0,0
1,RICE_Paddy_Crop_rotation,1,16,1,9,1,0,0.97,13,1,0,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,17,1,9,10,0,1.05,5,0,0,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,18,1,9,25,1,0.84,6,1,0,0,0,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,19,1,9,28,1,0.85,1,28,0,0,1700,0,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,20,1,9,28,0,0.01,3,55,0,0,750,0.01,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,21,2,11,10,0,0.3,10,1,1,0,0.5,0.5,50,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,22,2,3,10,0,0.6,3,4,0,0,225,0.01,0,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,23,2,4,10,0,0.8,10,1,1,0,0.5,0.5,50,0,0,0,0
1,RICE_Paddy_Crop_rotation,1,24,2,5,1,0,1.05,5,0,0,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,1,1,5,1,1,0.19,13,0,50,10,30,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,2,1,5,1,1,0.19,10,1,1,0,0.5,1,50,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,3,1,5,5,1,0.2,1,33,0,0,2000,0.2,20,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,4,1,5,8,0,0.01,3,55,0,0,780,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,5,1,5,8,0,0.01,3,56,0,0,3000,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,6,1,5,20,0,0.1,13,0,70,20,50,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,7,1,5,20,0,0.1,10,2,1,0,0.6,0.8,70,0.2,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,8,1,6,20,0,0.25,13,1,0,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,9,1,7,10,0,0.5,13,0,120,30,60,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,10,1,7,10,0,0.5,10,2,1,0,0.6,0.8,120,0.2,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,11,1,7,11,0,0.51,3,4,0,0,144,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,12,1,8,5,0,0.7,13,0,100,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,13,1,8,5,0,0.7,10,2,1,0,0.6,0.8,100,0.2,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,14,1,8,6,0,0.72,3,4,0,0,96,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,15,1,8,20,0,0.8,13,0,50,10,30,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,16,1,8,20,0,0.8,10,2,1,0,0.6,0.8,0,0.2,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,17,1,9,1,0,0.97,13,1,0,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,18,1,9,10,0,1.05,5,0,0,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,19,1,9,25,1,0.84,6,1,0,0,0,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,20,1,9,28,1,0.85,1,28,0,0,1700,0,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,21,1,9,28,0,0.01,3,55,0,0,600,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,22,1,9,28,0,0.01,3,56,0,0,3000,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,23,2,11,10,0,0.3,10,1,1,0,0.5,0.5,50,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,24,2,3,10,0,0.6,3,4,0,0,180,0.01,0,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,25,2,4,10,0,0.8,10,1,1,0,0.5,0.5,50,0,0,0,0
2,RICE_Paddy_Crop_rotation_NEW,33,26,2,5,1,0,1.05,5,0,0,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,1,1,5,1,1,0.19,13,0,50,10,30,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,2,1,5,1,1,0.19,10,1,1,0,0.5,1,50,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,3,1,5,5,1,0.2,1,33,0,0,2000,0.2,20,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,4,1,5,8,0,0.01,3,55,0,0,780,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,5,1,5,8,0,0.01,3,56,0,0,3000,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,6,1,5,20,0,0.1,13,0,70,20,50,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,7,1,5,20,0,0.1,10,2,1,0,0.6,0.8,70,0.2,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,8,1,6,20,0,0.25,13,1,0,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,9,1,7,10,0,0.5,13,0,120,30,60,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,10,1,7,10,0,0.5,10,2,1,0,0.6,0.8,120,0.2,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,11,1,7,11,0,0.51,3,4,0,0,144,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,12,1,8,5,0,0.7,13,0,100,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,13,1,8,5,0,0.7,10,2,1,0,0.6,0.8,100,0.2,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,14,1,8,6,0,0.72,3,4,0,0,96,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,15,1,8,20,0,0.8,13,0,50,10,30,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,16,1,8,20,0,0.8,10,2,1,0,0.6,0.8,0,0.2,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,17,1,9,1,0,0.97,13,1,0,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,18,1,9,10,0,1.05,5,0,0,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,19,1,9,25,1,0.84,6,1,0,0,0,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,20,1,9,28,1,0.85,1,28,0,0,1700,0,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,21,1,9,28,0,0.01,3,55,0,0,600,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,22,1,9,28,0,0.01,3,56,0,0,3000,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,23,2,11,10,0,0.3,10,1,1,0,0.5,0.5,50,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,24,2,3,10,0,0.6,3,4,0,0,180,0.01,0,0,0,0,0
3,RICE_Paddy_Crop_rotation_NEW,1,25,2,4,10,0,0.8,10,1,1,0,0.5,0.5,50,0,0,0,0
