StationID	Y	M	D	Type	Value
1	2014	8	27	SOLP	0.19925
1	2014	8	28	SOLP	0.196
1	2014	8	29	SOLP	0.194
1	2014	8	30	SOLP	0.188
1	2014	8	31	SOLP	0.4495
1	2014	9	1	SOLP	0.148333333
1	2014	9	2	SOLP	0.156857143
1	2014	9	3	SOLP	0.166666667
1	2014	9	4	SOLP	0.155
1	2014	7	1	SOLP	0.651
2	2014	7	1	SOLP	0.049
3	2014	7	1	SOLP	0.11
4	2014	7	1	SOLP	0.677
5	2014	7	1	SOLP	0.395
6	2014	7	1	SOLP	0.305
7	2014	7	1	SOLP	0.186
8	2014	7	1	SOLP	0.094
9	2014	7	1	SOLP	0.057
10	2014	7	1	SOLP	0.202
11	2014	7	1	SOLP	1.171
12	2014	7	1	SOLP	0.194
13	2014	7	1	SOLP	0.022
1	2014	10	10	SOLP	0.09 
2	2014	10	10	SOLP	3.61 
3	2014	10	10	SOLP	1.63 
4	2014	10	10	SOLP	1.37 
6	2014	10	10	SOLP	3.81 
7	2014	10	10	SOLP	0.10 
8	2014	10	10	SOLP	0.03 
9	2014	10	10	SOLP	0.07 
10	2014	10	10	SOLP	0.09 
11	2014	10	10	SOLP	2.47 
12	2014	10	10	SOLP	0.30 
13	2014	10	10	SOLP	0.01 
1	2014	11	28	SOLP	0.43 
2	2014	11	28	SOLP	0.41 
3	2014	11	28	SOLP	0.20 
4	2014	11	28	SOLP	1.29 
6	2014	11	28	SOLP	0.96 
7	2014	11	28	SOLP	0.36 
8	2014	11	28	SOLP	0.33 
9	2014	11	28	SOLP	0.57 
10	2014	11	28	SOLP	0.36 
11	2014	11	28	SOLP	0.69 
12	2014	11	28	SOLP	0.19 
13	2014	11	28	SOLP	0.25 
