StationID	Y	M	D	Type	Value
1	2014	8	27	TN	3.2525
1	2014	8	28	TN	1.78
1	2014	8	29	TN	2.13
1	2014	8	30	TN	1.619
1	2014	8	31	TN	4.958
1	2014	9	1	TN	2.417
1	2014	9	2	TN	2.177
1	2014	9	3	TN	2.17
1	2014	9	4	TN	1.77
1	2014	7	1	TN	5.25
2	2014	7	1	TN	0.589
3	2014	7	1	TN	5.85
4	2014	7	1	TN	22.8
5	2014	7	1	TN	8.41
6	2014	7	1	TN	9.5
7	2014	7	1	TN	1.72
8	2014	7	1	TN	2.19
9	2014	7	1	TN	3.14
10	2014	7	1	TN	2.1
11	2014	7	1	TN	9.48
12	2014	7	1	TN	4.48
13	2014	7	1	TN	0.021
1	2014	10	10	TN	2.244
2	2014	10	10	TN	19.6 
3	2014	10	10	TN	13.4 
4	2014	10	10	TN	20.8 
6	2014	10	10	TN	10.7 
7	2014	10	10	TN	0.8 
11	2014	10	10	TN	14.1 
13	2014	10	10	TN	4.93 
1	2014	11	28	TN	3.1
2	2014	11	28	TN	1.5 
3	2014	11	28	TN	2.1 
4	2014	11	28	TN	18.7 
6	2014	11	28	TN	2.9 
7	2014	11	28	TN	3.4 
8	2014	11	28	TN	3.0 
9	2014	11	28	TN	3.5 
10	2014	11	28	TN	1.2 
11	2014	11	28	TN	4.8 
12	2014	11	28	TN	2.1 
13	2014	11	28	TN	1.29 
