StationID	Y	M	D	Type	Value
1	2014	1	7	TP	0.057
2	2014	1	7	TP	0.789
3	2014	1	7	TP	6.671
4	2014	1	7	TP	6.412
5	2014	1	7	TP	6.464
6	2014	1	7	TP	1.194
13	2014	1	7	TP	0.002
7	2014	1	7	TP	0.139
9	2014	1	7	TP	0.005
8	2014	1	7	TP	0.01
12	2014	1	7	TP	0.046
1	2014	8	27	TP	0.55825
1	2014	8	28	TP	0.599
1	2014	8	29	TP	0.664
1	2014	8	30	TP	0.516
1	2014	8	31	TP	0.5274
1	2014	9	1	TP	0.1923
1	2014	9	2	TP	0.1767
1	2014	9	3	TP	0.1907
1	2014	9	4	TP	0.171
1	2014	3	15	TP	0.277
2	2014	3	15	TP	1.578
3	2014	3	15	TP	4.153
4	2014	3	15	TP	6.308
5	2014	3	15	TP	4.984
6	2014	3	15	TP	1.259
13	2014	3	15	TP	0.025
7	2014	3	15	TP	0.106
8	2014	3	15	TP	0.023
9	2014	3	15	TP	0.212
10	2014	3	15	TP	0.005
11	2014	3	15	TP	6.905
12	2014	3	15	TP	1.586
1	2014	5	14	TP	0.903
2	2014	5	14	TP	0.298
3	2014	5	14	TP	1.609
4	2014	5	14	TP	5.166
5	2014	5	14	TP	3.167
6	2014	5	14	TP	8.904
7	2014	5	14	TP	0.324
8	2014	5	14	TP	0.277
9	2014	5	14	TP	0.098
10	2014	5	14	TP	0.303
11	2014	5	14	TP	8.748
12	2014	5	14	TP	1.879
13	2014	5	14	TP	0.054
1	2014	7	1	TP	1.092
2	2014	7	1	TP	0.111
3	2014	7	1	TP	2.284
4	2014	7	1	TP	2.907
5	2014	7	1	TP	2.777
6	2014	7	1	TP	1.609
7	2014	7	1	TP	0.236
8	2014	7	1	TP	0.282
9	2014	7	1	TP	0.303
10	2014	7	1	TP	0.308
11	2014	7	1	TP	4.257
12	2014	7	1	TP	0.817
13	2014	7	1	TP	0.661
1	2014	10	10	TP	0.1759
2	2014	10	10	TP	5.5 
3	2014	10	10	TP	2.6 
4	2014	10	10	TP	2.3 
6	2014	10	10	TP	9.4 
7	2014	10	10	TP	0.3 
8	2014	10	10	TP	0.0 
9	2014	10	10	TP	0.0 
10	2014	10	10	TP	0.1 
11	2014	10	10	TP	3.5 
12	2014	10	10	TP	0.4 
13	2014	10	10	TP	0.04 
1	2014	11	28	TP	0.8405
2	2014	11	28	TP	0.3 
3	2014	11	28	TP	0.4 
4	2014	11	28	TP	1.0 
6	2014	11	28	TP	0.5 
7	2014	11	28	TP	0.3 
8	2014	11	28	TP	0.1 
9	2014	11	28	TP	0.2 
10	2014	11	28	TP	0.3 
11	2014	11	28	TP	0.7 
12	2014	11	28	TP	0.2 
13	2014	11	28	TP	0.26 
