#LOCALTIME 8
StationID,DATETIME,TMEAN,TMAX,TMIN,RM,WS,SSD
58321,2010-01-01 20:00:00,3.5,8.6,-0.8,69,1.9,4.7
58321,2010-01-02 20:00:00,5.4,12.8,-0.5,75,1.6,7.2
58321,2010-01-03 20:00:00,4.7,10.6,1,86,2.9,5.5
58321,2010-01-04 20:00:00,2.4,5.3,1.1,63,3.4,6.7
58321,2010-01-05 20:00:00,-1.5,1.2,-3.9,42,3.1,5.2
58321,2010-01-06 20:00:00,-0.5,4,-3.8,53,1.9,7.7
58321,2010-01-07 20:00:00,-0.7,0.9,-2.8,55,1.7,3.7
58321,2010-01-08 20:00:00,0.7,3.4,-0.3,54,1.5,3.8
58321,2010-01-09 20:00:00,3,8,-1.8,71,2,6.8
58321,2010-01-10 20:00:00,1.9,5.4,0.3,85,2.8,3.8
58321,2010-01-11 20:00:00,1.2,3.5,0.2,64,2.7,3.9
58321,2010-01-12 20:00:00,1.1,8.7,-4.7,63,2.2,8.4
58321,2010-01-13 20:00:00,-1.5,5.5,-5.4,33,2.5,8.8
58321,2010-01-14 20:00:00,3.1,11.6,-3.4,56,2.1,8.8
58321,2010-01-15 20:00:00,3,4.7,-0.4,56,2.6,4
58321,2010-01-16 20:00:00,3.5,7,1.7,67,1.1,5.4
58321,2010-01-17 20:00:00,4.2,10.6,-1.3,77,1.7,8.5
58321,2010-01-18 20:00:00,6.9,14.3,1.5,77,1.4,8.5
58321,2010-01-19 20:00:00,9.7,13.8,5.5,80,2.3,5.9
58321,2010-01-20 20:00:00,10.2,12.4,7.9,76,2.9,4.3
58321,2010-01-21 20:00:00,1.4,8,-1.6,68,3.5,6.1
58321,2010-01-22 20:00:00,1.5,4.8,-0.2,62,0.9,4.4
58321,2010-01-23 20:00:00,2.2,6.8,-0.8,58,0.6,8.2
58321,2010-01-24 20:00:00,4.4,7.5,0.1,67,1.2,4.5
58321,2010-01-25 20:00:00,4.3,8.5,2.1,60,2.3,9.4
58321,2010-01-26 20:00:00,4,9.8,-2.3,55,2.4,9.9
58321,2010-01-27 20:00:00,6.5,9.8,5.2,86,1.5,4.6
