PTSRC,PTSRCID,Name,Lon,Lat,LocalX,LocalY,Size
10000,10001,XinHuaCattle,117.44897,32.011126,39542419.65,3543174.263,200
10000,10002,GuiHeCattle,117.491601,31.969043,39546468.75,3538525.254,1000
20000,20001,PIG1,117.4418671,31.94989758,39541776.28,3536382.005,50
20000,20002,PIG2,117.4441539,31.95003845,39541992.43,3536398.51,360
20000,20003,PIG3,117.4426763,31.95107219,39541852.26,3536512.567,50
20000,20004,PIG4,117.4417384,31.95114232,39541763.55,3536519.981,60
20000,20005,PIG5,117.4350936,31.95219177,39541134.86,3536633.808,80
20000,20006,PIG6,117.4756811,31.97294292,39544962.02,3538950.999,50
20000,20007,PIG7,117.4761893,31.97328504,39545009.89,3538989.147,50
20000,20008,PIG8,117.4756312,31.98838751,39544949.78,3540663.601,50
20000,20009,PIG9,117.4751131,31.98857276,39544900.72,3540683.927,50
20000,20010,PIG10,117.4816318,31.99360622,39545514.3,3541244.805,50
20000,20011,PIG11,117.4824332,31.99379731,39545589.94,3541266.332,50
20000,20012,PIG12,117.4820082,31.9937456,39545549.8,3541260.419,50
20000,20013,PIG13,117.4823254,31.99408442,39545579.61,3541298.123,50
20000,20014,PIG14,117.4163806,31.99647754,39539346.77,3541537.596,50
20000,20015,PIG15,117.4640726,31.99918622,39543852.28,3541856.306,50
20000,20016,PIG16,117.4656355,31.99980726,39543999.67,3541925.807,50
20000,20017,PIG17,117.4646243,31.99973155,39543904.15,3541917,50
20000,20018,PIG18,117.4653357,32.00006119,39543971.22,3541953.843,50
20000,20019,PIG19,117.4555386,32.00897644,39543041.28,3542938.498,50
20000,20020,WangDa,117.4559185,32.02207634,39543071.05,3544391.28,800
20000,20021,ChangHuaiMuYe,117.4667732,32.01229326,39544101.2,3543310.825,2500
20000,20022,JianDaYangZhi,117.4536917,31.953076,39542892.77,3536739.076,4000
20000,20023,WangSheng,117.460075,31.9990143,39543474.6,3541835.627,6000
20000,20024,ShangYeShengTai,117.4738343,32.0176558,39544765.73,3543908.373,1000
20000,20025,ShouFaJiaTing,117.4793057,32.01858011,39545282.2,3544013.148,500
20000,20026,WenYingYangZhi,117.4703902,31.95639411,39544469.89,3537113.751,2000
20000,20027,XiaoBaoShengZhu,117.477229,31.96512739,39545112.16,3538084.995,600
20000,20028,QiBiaoYangZhu,117.4679496,31.9734777,39544230.97,3539007.113,800
40000,40001,QianLiuPark,117.483587,31.95292433,39545719.23,3536734.492,2000
40000,40002,PaiFangSchool,117.468861,31.954558,39544326.21,3536909.522,2000
40000,40003,SanWangCun,117.478025,31.985451,39545177.45,3540338.973,1000
40000,40004,ShengQuanSchool,117.478074,31.937378,39545205.63,3535008.248,15000
