#LOCALTIME 8
RAINID,DATETIME,81502750
R2013001,2013-02-04 19:45:00,6
R2013001,2013-02-04 19:50:00,0
R2013001,2013-02-04 20:05:00,6
R2013001,2013-02-04 20:10:00,0
R2013001,2013-02-04 20:35:00,6
R2013001,2013-02-04 20:40:00,3
R2013001,2013-02-04 20:50:00,0
R2013001,2013-02-04 21:06:00,15
R2013001,2013-02-04 21:10:00,0
R2013001,2013-02-04 22:25:00,6
R2013001,2013-02-04 22:30:00,0
R2013001,2013-02-04 23:50:00,6
R2013001,2013-02-04 23:55:00,0
R2013001,2013-02-05 01:40:00,6
R2013001,2013-02-05 01:45:00,0
R2013001,2013-02-05 02:10:00,6
R2013001,2013-02-05 02:15:00,0
R2013001,2013-02-05 02:35:00,6
R2013001,2013-02-05 02:40:00,0
R2013001,2013-02-05 02:55:00,6
R2013001,2013-02-05 03:00:00,0
R2013001,2013-02-05 03:10:00,6
R2013001,2013-02-05 03:15:00,0
R2013001,2013-02-05 03:25:00,6
R2013001,2013-02-05 03:30:00,0
R2013001,2013-02-05 03:50:00,6
R2013001,2013-02-05 03:55:00,0
R2013001,2013-02-05 04:30:00,6
R2013001,2013-02-05 04:35:00,0
R2013001,2013-02-05 05:00:00,6
R2013001,2013-02-05 05:05:00,0
R2013001,2013-02-05 05:25:00,6
R2013001,2013-02-05 05:30:00,0
R2013001,2013-02-05 05:55:00,6
R2013001,2013-02-05 06:00:00,2
R2013001,2013-02-05 06:15:00,0
R2013001,2013-02-05 06:25:00,6
R2013001,2013-02-05 06:30:00,0
R2013001,2013-02-05 06:55:00,6
R2013001,2013-02-05 07:00:00,0
R2013001,2013-02-05 07:10:00,6
R2013001,2013-02-05 07:15:00,0
R2013001,2013-02-05 07:35:00,6
R2013001,2013-02-05 07:40:00,0
R2013002,2013-02-05 22:40:00,6
R2013002,2013-02-05 22:45:00,12
R2013002,2013-02-05 22:50:00,36
R2013002,2013-02-05 22:55:00,36
R2013002,2013-02-05 23:00:00,60
R2013002,2013-02-05 23:05:00,60
R2013002,2013-02-05 23:10:00,12
R2013002,2013-02-05 23:15:00,6
R2013002,2013-02-05 23:20:00,6
R2013002,2013-02-05 23:25:00,0
R2013002,2013-02-05 23:55:00,6
R2013002,2013-02-06 00:00:00,0
R2013003,2013-03-26 03:25:00,6
R2013003,2013-03-26 03:30:00,12
R2013003,2013-03-26 03:35:00,6
R2013003,2013-03-26 03:40:00,6
R2013003,2013-03-26 03:45:00,3
R2013003,2013-03-26 03:55:00,6
R2013003,2013-03-26 04:00:00,24
R2013003,2013-03-26 04:05:00,18
R2013003,2013-03-26 04:10:00,6
R2013003,2013-03-26 04:15:00,0
R2013003,2013-03-26 04:50:00,6
R2013003,2013-03-26 04:55:00,0
R2013003,2013-03-26 07:05:00,6
R2013003,2013-03-26 07:10:00,0
R2013003,2013-03-26 09:20:00,12
R2013003,2013-03-26 09:25:00,12
R2013003,2013-03-26 09:30:00,6
R2013003,2013-03-26 09:35:00,0
R2013003,2013-03-26 09:45:00,6
R2013003,2013-03-26 09:50:00,3
R2013003,2013-03-26 10:00:00,6
R2013003,2013-03-26 10:05:00,3
R2013003,2013-03-26 10:15:00,0
R2013003,2013-03-26 10:20:00,6
R2013003,2013-03-26 10:25:00,6
R2013003,2013-03-26 10:30:00,6
R2013003,2013-03-26 10:35:00,3
R2013003,2013-03-26 10:45:00,0
R2013003,2013-03-26 10:55:00,30
R2013003,2013-03-26 11:00:00,12
R2013003,2013-03-26 11:05:00,12
R2013003,2013-03-26 11:10:00,12
R2013003,2013-03-26 11:15:00,18
R2013003,2013-03-26 11:20:00,30
R2013003,2013-03-26 11:25:00,12
