StationID,Name,Type,Lat,Lon,LocalX,LocalY,Unit,Elevation,isOutlet
"# StationID is a unique positive integer, corresponding to the SiteID in observed_*.txt.",,,,,,,,,
# Name is the name of the monitoring point,,,,,,,,,
# Type is the observation type; the optional input is Q., SED, NO3, NH4, NO2, ORGP, ORGN, SOLP, TN, TP (Others may be added if applicable)
"# Lat, Lon, LocalX, LocalY",,,,,,,,,
"# Unit refers to the unit of observation, MUST BE UNIQUE",The concentration unit is always mg/L,Sediment concentration is g/L, The unit of weight is kg,The unit of flow rate is m3/s,,,,,
# Elevation is the elevation value of the measuring point.,,,,,,,,,
# isOutlet,,,,,,,,,
# 0: Other observation points,,,,,,,,,
#        1: Watershed Outlet Observation Point,,,,,,,,,
#        2: Sub-basin outlet observation point,,,,,,,,,
"#        3: Sub-basin intersection observation points (i.e., intersections at the exits of multiple sub-basins, where the measured values ??are the sum of the exit values ??of multiple sub-basins)",,,,,,,,,
1,hetianzhan,SED,25.680207,116.406401,440409.5117,2841541.178,g/L,280,1
1,hetianzhan,Q,25.680207,116.406401,440409.5117,2841541.178,m3/s,280,1
