#UTCTIME
#TIMESTEP 300
StationID,DATETIME,Type,VALUE
1,2015-01-12 16:00:00,Q,0.07
1,2015-01-12 18:20:00,Q,0.126
1,2015-01-12 21:00:00,Q,0.265
1,2015-01-13 00:00:00,Q,0.415
1,2015-01-13 02:00:00,Q,0.495
1,2015-01-13 06:50:00,Q,0.555
1,2015-01-13 07:30:00,Q,0.495
1,2015-01-13 12:00:00,Q,0.357
1,2015-01-13 16:00:00,Q,0.247
1,2015-01-13 19:30:00,Q,0.126
1,2015-01-13 23:00:00,Q,0.07
1,2015-02-15 02:30:00,Q,0.07
1,2015-02-15 03:00:00,Q,0.11
1,2015-02-15 04:00:00,Q,0.177
1,2015-02-15 04:20:00,Q,0.229
1,2015-02-15 04:50:00,Q,0.338
1,2015-02-15 05:00:00,Q,0.319
1,2015-02-15 06:00:00,Q,0.265
1,2015-02-15 09:00:00,Q,0.16
1,2015-02-15 12:30:00,Q,0.095
1,2015-02-15 14:00:00,Q,0.07
1,2015-02-18 10:50:00,Q,0.095
1,2015-02-18 11:30:00,Q,0.177
1,2015-02-18 12:30:00,Q,0.247
1,2015-02-18 12:50:00,Q,0.301
1,2015-02-18 13:30:00,Q,0.338
1,2015-02-18 15:00:00,Q,0.319
1,2015-02-18 16:00:00,Q,0.338
1,2015-02-18 18:00:00,Q,0.395
1,2015-02-18 21:30:00,Q,0.455
1,2015-02-18 22:30:00,Q,0.555
1,2015-02-18 23:30:00,Q,0.495
1,2015-02-19 01:00:00,Q,0.395
1,2015-02-19 05:30:00,Q,0.301
1,2015-02-19 07:00:00,Q,0.212
1,2015-02-19 12:00:00,Q,0.11
1,2015-02-19 15:00:00,Q,0.095
1,2015-02-19 16:00:00,Q,0.082
1,2015-02-20 23:25:00,Q,0.095
1,2015-02-21 00:00:00,Q,0.16
1,2015-02-21 01:00:00,Q,0.229
1,2015-02-21 04:30:00,Q,0.376
1,2015-02-21 05:30:00,Q,0.455
1,2015-02-21 07:00:00,Q,0.575
1,2015-02-21 07:30:00,Q,0.674
1,2015-02-21 08:10:00,Q,0.782
1,2015-02-21 09:00:00,Q,0.738
1,2015-02-21 10:30:00,Q,0.615
1,2015-02-21 12:30:00,Q,0.495
1,2015-02-21 16:00:00,Q,0.395
1,2015-02-22 00:00:00,Q,0.301
1,2015-02-22 03:30:00,Q,0.212
1,2015-02-22 06:30:00,Q,0.095
1,2015-02-22 09:00:00,Q,0.082
1,2015-03-03 05:00:00,Q,0.095
1,2015-03-03 07:00:00,Q,0.177
1,2015-03-03 08:00:00,Q,0.247
1,2015-03-03 10:00:00,Q,0.319
1,2015-03-03 15:00:00,Q,0.415
1,2015-03-03 16:00:00,Q,0.475
1,2015-03-03 21:00:00,Q,0.595
1,2015-03-03 22:00:00,Q,0.674
1,2015-03-03 23:00:00,Q,0.653
1,2015-03-04 03:00:00,Q,0.575
1,2015-03-04 06:00:00,Q,0.455
1,2015-03-04 09:00:00,Q,0.338
1,2015-03-04 16:00:00,Q,0.229
1,2015-03-04 18:30:00,Q,0.095
1,2015-03-04 22:45:00,Q,0.11
1,2015-03-05 02:00:00,Q,0.212
1,2015-03-05 07:30:00,Q,0.265
1,2015-03-05 12:30:00,Q,0.247
1,2015-03-05 16:00:00,Q,0.338
1,2015-03-05 16:30:00,Q,0.338
1,2015-03-05 18:30:00,Q,0.265
1,2015-03-06 00:00:00,Q,0.194
1,2015-03-06 02:30:00,Q,0.11
1,2015-03-06 05:00:00,Q,0.095
1,2015-03-06 12:00:00,Q,0.082
1,2015-03-09 16:30:00,Q,0.095
1,2015-03-09 20:00:00,Q,0.16
1,2015-03-10 01:00:00,Q,0.194
1,2015-03-10 08:00:00,Q,0.265
1,2015-03-10 16:00:00,Q,0.283
1,2015-03-10 18:00:00,Q,0.319
1,2015-03-11 00:30:00,Q,0.301
1,2015-03-11 02:00:00,Q,0.357
1,2015-03-11 09:00:00,Q,0.415
1,2015-03-11 16:00:00,Q,0.455
1,2015-03-11 16:30:00,Q,0.535
1,2015-03-11 18:30:00,Q,0.535
1,2015-03-12 00:00:00,Q,0.455
1,2015-03-12 03:40:00,Q,0.338
1,2015-03-12 09:00:00,Q,0.265
1,2015-03-12 16:00:00,Q,0.16
1,2015-03-12 18:30:00,Q,0.095
1,2015-03-23 01:10:00,Q,0.07
1,2015-03-23 03:00:00,Q,0.535
1,2015-03-23 03:30:00,Q,0.595
1,2015-03-23 03:45:00,Q,0.615
1,2015-03-23 04:00:00,Q,0.633
1,2015-03-23 04:15:00,Q,0.633
1,2015-03-23 04:30:00,Q,0.653
1,2015-03-23 04:40:00,Q,0.633
1,2015-03-23 04:50:00,Q,0.615
1,2015-03-23 05:15:00,Q,0.575
1,2015-03-23 05:50:00,Q,0.535
1,2015-03-23 06:20:00,Q,0.475
1,2015-03-23 07:00:00,Q,0.434
1,2015-03-23 07:30:00,Q,0.415
1,2015-03-23 07:55:00,Q,0.395
1,2015-03-23 16:00:00,Q,0.265
1,2015-03-23 23:15:00,Q,0.126
1,2015-04-08 09:05:00,Q,0.082
1,2015-04-08 11:00:00,Q,0.126
1,2015-04-08 12:00:00,Q,0.212
1,2015-04-08 14:00:00,Q,0.265
1,2015-04-08 16:00:00,Q,0.357
1,2015-04-08 17:00:00,Q,0.415
1,2015-04-08 18:00:00,Q,0.475
1,2015-04-08 19:00:00,Q,0.475
1,2015-04-08 21:00:00,Q,0.338
1,2015-04-08 23:00:00,Q,0.247
1,2015-04-09 00:00:00,Q,0.194
1,2015-04-09 01:30:00,Q,0.11
1,2015-04-09 02:00:00,Q,0.082
1,2015-04-09 02:05:00,Q,0.082
1,2015-04-09 07:00:00,Q,0.095
1,2015-04-09 08:00:00,Q,0.126
1,2015-04-09 09:00:00,Q,0.177
1,2015-04-09 10:00:00,Q,0.265
1,2015-04-09 11:00:00,Q,0.415
