#LOCALTIME 8
RAINID,RUNOFFID,DATETIME,FLOW,SED
R2013001,S2013001,2013-02-04 20:10:00,0.044,0
R2013001,S2013001,2013-02-04 22:30:00,0.132,0.602
R2013001,S2013001,2013-02-05 00:00:00,0.215,0.671
R2013001,S2013001,2013-02-05 16:00:00,0.278,0.915
R2013002,S2013001,2013-02-06 00:00:00,0.16,0.445
R2013002,S2013001,2013-02-07 00:00:00,0.08,0.12
R2013002,S2013001,2013-02-07 07:30:00,0.044,0.086
R2013002,S2013001,2013-02-07 10:00:00,0.04,0.074
R2013002,S2013001,2013-02-07 16:00:00,0.033,0.047
R2013002,S2013001,2013-02-08 00:00:00,0.027,0.01
R2013002,S2013001,2013-02-08 20:00:00,0.027,0.006
R2013002,S2013001,2013-02-09 00:00:00,0.03,0.005
R2013002,S2013001,2013-02-09 02:10:00,0.037,0.005
R2013002,S2013001,2013-02-09 05:30:00,0.044,0.004
R2013002,S2013001,2013-02-09 06:00:00,0.064,0.004
R2013002,S2013001,2013-02-09 10:30:00,0.056,0.003
R2013002,S2013001,2013-02-09 16:00:00,0.04,0.002
R2013002,S2013001,2013-02-10 00:00:00,0.04,0
R2013003,S2013002,2013-03-26 06:00:00,0.16,0
R2013003,S2013002,2013-03-26 07:00:00,0.16,0.204
R2013003,S2013002,2013-03-26 10:00:00,0.102,1.04
R2013003,S2013002,2013-03-26 10:30:00,0.114,1.18
R2013003,S2013002,2013-03-26 11:30:00,0.23,1.46
R2013003,S2013002,2013-03-26 12:00:00,0.49,1.6
R2013003,S2013002,2013-03-26 13:30:00,1.58,2.75
R2013003,S2013002,2013-03-26 16:00:00,1.13,2.48
R2013003,S2013002,2013-03-26 19:00:00,0.622,2.15
R2013003,S2013002,2013-03-26 21:00:00,0.372,1.93
R2013003,S2013002,2013-03-27 00:00:00,0.215,0.945
R2013003,S2013002,2013-03-27 04:30:00,0.16,0.832
R2013003,S2013002,2013-03-27 10:00:00,0.102,0.693
R2013003,S2013002,2013-03-28 00:00:00,0.09,0.34
R2013004,S2013002,2013-03-28 06:00:00,0.08,0.549
R2013004,S2013002,2013-03-28 07:00:00,0.132,0.575
R2013004,S2013002,2013-03-28 07:30:00,0.201,0.589
R2013004,S2013002,2013-03-28 08:00:00,0.342,0.602
R2013004,S2013002,2013-03-28 09:00:00,0.356,0.628
R2013004,S2013002,2013-03-28 11:00:00,0.215,0.66
R2013004,S2013002,2013-03-28 13:00:00,0.16,0.712
R2013004,S2013002,2013-03-28 14:00:00,0.261,1.26
R2013004,S2013002,2013-03-28 14:30:00,0.49,1.53
R2013004,S2013002,2013-03-28 15:00:00,0.834,1.72
R2013004,S2013002,2013-03-28 16:00:00,0.788,1.62
R2013004,S2013002,2013-03-28 18:00:00,0.326,1.42
R2013004,S2013002,2013-03-28 20:00:00,0.215,1.22
R2013004,S2013002,2013-03-29 00:00:00,0.16,0.811
R2013004,S2013002,2013-03-29 07:00:00,0.146,0.763
R2013004,S2013002,2013-03-29 11:00:00,0.132,0.735
R2013004,S2013002,2013-03-29 21:00:00,0.09,0.666
R2013004,S2013002,2013-03-30 00:00:00,0.09,0.645
R2013005,S2013002,2013-03-30 14:00:00,0.09,0.519
R2013005,S2013002,2013-03-30 15:00:00,0.114,0.51
R2013005,S2013002,2013-03-30 16:00:00,0.174,0.505
R2013005,S2013002,2013-03-30 16:30:00,0.215,0.501
R2013005,S2013002,2013-03-30 17:00:00,0.278,0.496
R2013005,S2013002,2013-03-30 18:00:00,0.342,0.487
R2013005,S2013002,2013-03-30 18:30:00,0.342,0.483
R2013005,S2013002,2013-03-30 20:00:00,0.278,0.469
R2013005,S2013002,2013-03-30 21:00:00,0.23,0.46
R2013005,S2013002,2013-03-31 00:00:00,0.16,0.433
R2013005,S2013002,2013-03-31 02:30:00,0.132,0.389
R2013005,S2013002,2013-03-31 08:30:00,0.102,0.285
R2013005,S2013002,2013-03-31 12:00:00,0.09,0.224
R2013005,S2013002,2013-03-31 21:00:00,0.08,0.135
R2013005,S2013002,2013-04-01 00:00:00,0.08,0.105
R2013005,S2013002,2013-04-01 02:30:00,0.09,0.105
