 Relationship of the fields ---- field number:
 103
 FID	downstreamFID	Area(ha)	LanduseID	Degree
 1	0	24.68	18	1
 2	1	1.61	33	2
 3	2	2.74	6	3
 4	2	0.75	6	3
 5	2	0.72	6	3
 6	1	0.83	104	2
 7	1	38.13	33	2
 8	7	2.23	104	3
 9	7	1.21	104	3
 10	7	3.6	6	3
 11	7	2.97	6	3
 12	11	0.73	33	4
 13	12	1.55	6	5
 14	12	1.31	6	5
 15	14	4.17	33	6
 16	15	0.95	6	7
 17	15	2.17	8	7
 18	7	0.74	8	3
 19	18	23.11	33	4
 20	19	0.75	6	5
 21	20	4.26	33	6
 22	21	1.17	6	7
 23	22	4.19	8	8
 24	23	0.89	6	9
 25	23	4.7	6	9
 26	21	24.23	8	7
 27	19	4.54	8	5
 28	19	1.01	8	5
 29	19	7.08	8	5
 30	19	2.15	8	5
 31	7	0.91	8	3
 32	31	1.81	6	4
 33	7	1.63	104	3
 34	7	0.77	8	3
 35	7	3.41	104	3
 36	35	3.13	33	4
 37	36	7.04	4	5
 38	37	1.84	33	6
 39	38	5.68	4	7
 40	36	0.8	104	5
 41	7	2.4	4	3
 42	7	0.82	104	3
 43	42	3.91	4	4
 44	1	3.87	33	2
 45	1	8.47	33	2
 46	45	0.74	104	3
 47	45	0.7	104	3
 48	1	2.86	6	2
 49	48	1.14	104	3
 50	1	1.16	4	2
 51	1	42.6	33	2
 52	51	1.55	4	3
 53	51	0.88	6	3
 54	51	5.81	8	3
 55	51	0.92	8	3
 56	51	2.79	6	3
 57	51	1.83	8	3
 58	51	1.93	6	3
 59	51	1.04	6	3
 60	51	0.87	6	3
 61	51	4.28	6	3
 62	61	2.39	8	4
 63	61	1.88	33	4
 64	63	5.48	6	5
 65	64	21.75	8	6
 66	51	1.02	6	3
 67	51	59.11	8	3
 68	67	0.94	6	4
 69	67	1.31	6	4
 70	67	1.16	33	4
 71	70	2.09	8	5
 72	70	3.7	8	5
 73	70	1.07	8	5
 74	67	0.89	33	4
 75	74	2.01	8	5
 76	67	2.13	33	4
 77	76	1.13	8	5
 78	76	7.5	8	5
 79	76	0.71	8	5
 80	51	2.55	4	3
 81	51	1.05	4	3
 82	51	2.24	4	3
 83	1	2.36	6	2
 84	1	0.78	8	2
 85	1	27.21	33	2
 86	85	1.05	6	3
 87	85	4.84	106	3
 88	87	1.05	8	4
 89	87	0.92	8	4
 90	85	6.67	8	3
 91	90	6.54	106	4
 92	91	13.49	8	5
 93	91	2.31	8	5
 94	91	1.58	8	5
 95	90	0.89	106	4
 96	90	3.26	106	4
 97	96	2.95	8	5
 98	85	15.5	4	3
 99	85	22.35	8	3
 100	99	0.71	4	4
 101	100	5.74	8	5
 102	101	1.62	4	6
 103	1	8.6	4	2
