### Generation number: 50, Population size: 72 ###
###### Generation: 1 ######
generation	scenario	economy	environment	sed_sum	sed_pp	net_cost_pp	gene_values
0	226316212	130.953910	7.883960	2599109.333333	[2998438.5, 2360110.5, 2438779.5]	[56.54391, 47.116089999999986, 27.293909999999993]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 22.0, 0.0, 22.0, 0.0, 22.0, 22.0, 0.0, 22.0, 0.0, 0.0, 22.0, 22.0, 0.0, 22.0, 22.0, 0.0, 11.0, 32.0, 0.0, 0.0, 23.0, 22.0, 0.0, 22.0, 0.0, 21.0, 23.0, 0.0, 11.0, 32.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 12.0, 0.0, 23.0, 0.0, 0.0, 22.0, 21.0, 0.0, 11.0, 21.0, 0.0, 11.0, 31.0, 43.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 21.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
1	103188975	130.755470	7.573789	2607861.000000	[2992989.8, 2374660.0, 2455933.0]	[59.68941, 39.97314999999999, 31.092909999999993]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 22.0, 0.0, 22.0, 0.0, 23.0, 23.0, 0.0, 22.0, 0.0, 0.0, 23.0, 21.0, 0.0, 21.0, 22.0, 0.0, 13.0, 33.0, 0.0, 0.0, 23.0, 22.0, 0.0, 23.0, 0.0, 21.0, 21.0, 0.0, 12.0, 31.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 11.0, 0.0, 23.0, 0.0, 0.0, 22.0, 23.0, 0.0, 12.0, 21.0, 0.0, 13.0, 32.0, 41.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 22.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 22.0, 0.0, 0.0, 0.0, 0.0])
1	103107866	131.296600	8.112203	2592669.333333	[2977901.8, 2357946.5, 2442158.2]	[53.06643999999999, 47.96339999999998, 30.266759999999994]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 23.0, 0.0, 22.0, 0.0, 22.0, 22.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 23.0, 0.0, 11.0, 33.0, 0.0, 0.0, 22.0, 23.0, 0.0, 22.0, 0.0, 23.0, 23.0, 0.0, 11.0, 32.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 22.0, 21.0, 0.0, 13.0, 21.0, 0.0, 12.0, 32.0, 42.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 21.0, 0.0, 0.0, 0.0, 0.0])
0	233546584	130.450520	7.304045	2615472.000000	[3000446.8, 2382935.0, 2463034.8]	[57.62764, 48.73631999999999, 24.086559999999988]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 21.0, 0.0, 21.0, 0.0, 23.0, 23.0, 0.0, 22.0, 0.0, 0.0, 22.0, 22.0, 0.0, 21.0, 21.0, 0.0, 13.0, 33.0, 0.0, 0.0, 22.0, 21.0, 0.0, 21.0, 0.0, 23.0, 22.0, 0.0, 13.0, 31.0, 0.0, 0.0, 13.0, 0.0, 23.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 12.0, 22.0, 0.0, 13.0, 33.0, 41.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 23.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 22.0, 0.0, 0.0, 0.0, 0.0])
1	213854828	131.339750	7.940513	2597513.666667	[2995160.5, 2357091.5, 2440289.8]	[55.86115999999999, 40.14648, 35.33211]	array('d', [0.0, 22.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 22.0, 0.0, 21.0, 0.0, 22.0, 23.0, 0.0, 21.0, 0.0, 0.0, 23.0, 21.0, 0.0, 21.0, 21.0, 0.0, 12.0, 32.0, 0.0, 0.0, 23.0, 23.0, 0.0, 23.0, 0.0, 21.0, 23.0, 0.0, 12.0, 32.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 13.0, 0.0, 23.0, 0.0, 0.0, 23.0, 21.0, 0.0, 11.0, 22.0, 0.0, 13.0, 33.0, 41.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
1	235364624	131.797600	8.016281	2595375.833333	[2978746.2, 2363906.5, 2443474.5]	[59.623869999999975, 32.52441999999999, 39.649309999999986]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 21.0, 0.0, 21.0, 0.0, 23.0, 22.0, 0.0, 21.0, 0.0, 0.0, 22.0, 21.0, 0.0, 21.0, 21.0, 0.0, 11.0, 31.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 0.0, 21.0, 22.0, 0.0, 11.0, 33.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 21.0, 22.0, 0.0, 12.0, 21.0, 0.0, 11.0, 33.0, 43.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 23.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
1	336977706	131.391930	7.484589	2610377.833333	[2991216.8, 2380449.2, 2459467.0]	[57.722199999999994, 40.18061999999998, 33.48911]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 23.0, 0.0, 21.0, 0.0, 22.0, 22.0, 0.0, 21.0, 0.0, 0.0, 21.0, 21.0, 0.0, 21.0, 21.0, 0.0, 11.0, 33.0, 0.0, 0.0, 22.0, 22.0, 0.0, 22.0, 0.0, 21.0, 21.0, 0.0, 13.0, 33.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 12.0, 22.0, 0.0, 13.0, 32.0, 42.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 21.0, 0.0, 0.0, 0.0, 0.0])
1	130914420	131.542180	7.845707	2600188.666667	[2980334.5, 2367719.2, 2452511.5]	[53.98227999999998, 42.598490000000005, 34.96140999999999]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 22.0, 0.0, 21.0, 0.0, 21.0, 22.0, 0.0, 21.0, 0.0, 0.0, 21.0, 22.0, 0.0, 21.0, 21.0, 0.0, 11.0, 31.0, 0.0, 0.0, 22.0, 23.0, 0.0, 22.0, 0.0, 21.0, 23.0, 0.0, 13.0, 32.0, 0.0, 0.0, 12.0, 0.0, 22.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 23.0, 23.0, 0.0, 12.0, 23.0, 0.0, 11.0, 33.0, 42.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 22.0, 0.0, 0.0, 0.0, 0.0])
1	945404461	131.442860	7.462810	2610992.333333	[2991813.2, 2379958.5, 2461205.0]	[59.38189, 33.60091, 38.460059999999984]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 22.0, 0.0, 23.0, 0.0, 22.0, 23.0, 0.0, 22.0, 0.0, 0.0, 23.0, 21.0, 0.0, 23.0, 21.0, 0.0, 13.0, 32.0, 0.0, 0.0, 21.0, 22.0, 0.0, 22.0, 0.0, 21.0, 22.0, 0.0, 11.0, 32.0, 0.0, 0.0, 11.0, 0.0, 23.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 13.0, 21.0, 0.0, 13.0, 32.0, 41.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 22.0, 0.0, 0.0, 0.0, 0.0])
0	230479982	132.586050	7.514419	2609536.166667	[2995603.2, 2377365.2, 2455639.5]	[45.40950999999999, 48.17472999999999, 39.00180999999999]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 21.0, 0.0, 23.0, 0.0, 22.0, 21.0, 0.0, 21.0, 0.0, 0.0, 21.0, 22.0, 0.0, 21.0, 21.0, 0.0, 12.0, 31.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 0.0, 23.0, 23.0, 0.0, 12.0, 31.0, 0.0, 0.0, 11.0, 0.0, 21.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 21.0, 22.0, 0.0, 13.0, 22.0, 0.0, 12.0, 32.0, 41.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 21.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 21.0, 0.0, 0.0, 0.0, 0.0])
