StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58345	2011	1	1	-0.8	2.8	-3.9	32	1.7	8.1
58345	2011	1	2	0.3	3.1	-2.1	64	0.9	0
58345	2011	1	3	0.6	2.7	-0.8	73	1.5	0
58345	2011	1	4	0.7	5.2	-2.6	59	0.9	8.1
58345	2011	1	5	1.9	3	0	59	0.5	0
58345	2011	1	6	0.2	2.8	-1.4	44	1.5	8.2
58345	2011	1	7	-1.8	3.2	-6.2	53	0.5	5.4
58345	2011	1	8	-0.4	7.3	-5.8	59	0.7	8.5
58345	2011	1	9	1.7	4.7	-1.8	44	1.9	7.4
58345	2011	1	10	-1.9	2.5	-5.2	48	1	8
58345	2011	1	11	0.3	5.8	-4.6	40	2.6	6.9
58345	2011	1	12	-0.4	3.9	-3.3	41	1.3	7.5
58345	2011	1	13	0.2	5.1	-4.5	61	2.3	2.4
58345	2011	1	14	4.1	6.6	1.5	67	1.9	0
58345	2011	1	15	0.8	4.6	-1.7	52	3.5	5.8
58345	2011	1	16	-4.1	0.5	-7.8	41	1.8	8.2
58345	2011	1	17	-2.4	1.1	-6.2	55	1.2	2.6
58345	2011	1	18	-1	-0.1	-1.8	73	1.8	0
58345	2011	1	19	-0.7	0.4	-1.7	85	1.7	0
58345	2011	1	20	-0.6	0.3	-1.4	89	1.8	0
58345	2011	1	21	-0.5	3.3	-3.6	70	0.5	6.7
58345	2011	1	22	-1.1	4.1	-5.5	70	1.4	8.3
58345	2011	1	23	2.6	6.5	0.5	69	1	1.7
58345	2011	1	24	0.4	3.6	-2.3	53	1.6	8.1
58345	2011	1	25	0.8	4.8	-2.1	59	2.3	8.7
58345	2011	1	26	2.4	5	-0.6	65	1.7	0
58345	2011	1	27	2.3	3.7	0.8	76	3.1	0
58345	2011	1	28	1	2.2	0.3	83	2.3	0
58345	2011	1	29	0.8	4.2	-0.8	70	1.9	4.7
58345	2011	1	30	-0.6	3.6	-3.7	49	1.1	7.2
58345	2011	1	31	0.3	7.2	-5.5	51	0.6	8.2
58345	2011	2	1	1.5	9	-3.1	60	0.7	3.8
58345	2011	2	2	2.9	12.1	-2.4	56	1	8.4
58345	2011	2	3	3.9	13.9	-2.5	61	0.7	7
58345	2011	2	4	5.7	15.1	-1.4	62	0.7	7.6
