Y	M	D	111
2011	1	1	0
2011	1	2	0.1
2011	1	3	1.2
2011	1	4	0
2011	1	5	0
2011	1	6	0
2011	1	7	0
2011	1	8	0
2011	1	9	0
2011	1	10	0
2011	1	11	0
2011	1	12	0
2011	1	13	0
2011	1	14	0
2011	1	15	0
2011	1	16	0
2011	1	17	0
2011	1	18	2
2011	1	19	2.9
2011	1	20	9
2011	1	21	0.1
2011	1	22	0
2011	1	23	0.2
2011	1	24	0
2011	1	25	0
2011	1	26	0
2011	1	27	1
2011	1	28	4.7
2011	1	29	0
2011	1	30	0
2011	1	31	0
2011	2	1	0
2011	2	2	0
2011	2	3	0
2011	2	4	0
2011	2	5	0
2011	2	6	0
2011	2	7	0
2011	2	8	0
2011	2	9	0.7
2011	2	10	10.5
2011	2	11	0
2011	2	12	0
2011	2	13	0.8
2011	2	14	0.4
2011	2	15	0
2011	2	16	1.2
2011	2	17	0
2011	2	18	0
2011	2	19	0
2011	2	20	0
2011	2	21	0
2011	2	22	0
2011	2	23	0
2011	2	24	0
2011	2	25	0
2011	2	26	9.5
2011	2	27	3.1
2011	2	28	1.1
2011	3	1	4.7
2011	3	2	0
2011	3	3	0
2011	3	4	0
2011	3	5	0
2011	3	6	3.1
2011	3	7	0.1
2011	3	8	0
2011	3	9	0
2011	3	10	0
2011	3	11	0
2011	3	12	0
2011	3	13	0
2011	3	14	2.3
2011	3	15	0
2011	3	16	0
2011	3	17	0
2011	3	18	0
2011	3	19	2
2011	3	20	8.3
2011	3	21	16.1
2011	3	22	3.1
2011	3	23	0
2011	3	24	0
2011	3	25	0
2011	3	26	0
2011	3	27	0
2011	3	28	0
2011	3	29	0
2011	3	30	0
2011	3	31	0
2011	4	1	0
2011	4	2	0
2011	4	3	8.7
2011	4	4	0
2011	4	5	0
2011	4	6	4.1
2011	4	7	2.5
2011	4	8	0
2011	4	9	0
2011	4	10	0
2011	4	11	0
2011	4	12	0
2011	4	13	0.5
2011	4	14	0
2011	4	15	0
2011	4	16	0
2011	4	17	0
2011	4	18	0
2011	4	19	0
2011	4	20	0
2011	4	21	0.8
2011	4	22	4.3
2011	4	23	0
2011	4	24	0
2011	4	25	0
2011	4	26	0
2011	4	27	3.2
2011	4	28	0
2011	4	29	0
2011	4	30	0
2011	5	1	0
2011	5	2	0
2011	5	3	1.8
2011	5	4	0
2011	5	5	0
2011	5	6	0
2011	5	7	0
2011	5	8	0
2011	5	9	0
2011	5	10	2
2011	5	11	3.6
2011	5	12	0.4
2011	5	13	0
2011	5	14	0
2011	5	15	0
2011	5	16	0
2011	5	17	0
2011	5	18	0
2011	5	19	0
2011	5	20	0
2011	5	21	0
2011	5	22	5.9
2011	5	23	11.8
2011	5	24	0
2011	5	25	0
2011	5	26	0
2011	5	27	0
2011	5	28	0
