SUBSCENARIO	NAME	LANDUSE_ID	SEQUENCE	YEAR	MONTH	DAY	BASE_HU	HUSC	MGT_OP	MGT1	MGT2	MGT3	MGT4	MGT5	MGT6	MGT7	MGT8	MGT9	MGT10
0	RICE_Paddy_Crop_rotation	33	1	1	0	0	1	0.19	13	0	50	10	30	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	2	1	0	0	1	0.19	10	1	1	0	0.5	1	50	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	3	1	0	0	1	0.2	1	33	0	0	2000	0.2	20	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	4	1	0	0	0	0.01	3	55	0	0	975	0.01	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	5	1	0	0	0	0.1	13	0	70	20	50	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	6	1	0	0	0	0.1	10	2	1	0	0.6	0.8	70	0.2	0	0	0
0	RICE_Paddy_Crop_rotation	33	7	1	0	0	0	0.25	13	1	0	0	0	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	8	1	0	0	0	0.5	13	0	120	30	60	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	9	1	0	0	0	0.5	10	2	1	0	0.6	0.8	120	0.2	0	0	0
0	RICE_Paddy_Crop_rotation	33	10	1	0	0	0	0.51	3	4	0	0	180	0.01	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	11	1	0	0	0	0.7	13	0	100	0	0	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	12	1	0	0	0	0.7	10	2	1	0	0.6	0.8	100	0.2	0	0	0
0	RICE_Paddy_Crop_rotation	33	13	1	0	0	0	0.72	3	4	0	0	120	0.01	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	14	1	0	0	0	0.8	13	0	50	10	30	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	15	1	0	0	0	0.8	10	2	1	0	0.6	0.8	0	0.2	0	0	0
0	RICE_Paddy_Crop_rotation	33	16	1	0	0	0	0.97	13	1	0	0	0	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	17	1	0	0	0	1.05	5	0	0	0	0	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	18	1	0	0	1	0.84	6	1	0	0	0	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	19	1	0	0	1	0.85	1	28	0	0	1700	0	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	20	1	0	0	0	0.01	3	55	0	0	750	0.01	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	21	2	0	0	0	0.3	10	1	1	0	0.5	0.5	50	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	22	2	0	0	0	0.6	3	4	0	0	225	0.01	0	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	23	2	0	0	0	0.8	10	1	1	0	0.5	0.5	50	0	0	0	0
0	RICE_Paddy_Crop_rotation	33	24	2	0	0	0	1.05	5	0	0	0	0	0	0	0	0	0	0


