#UTCTIME
StationID,DATETIME,TYPE,VALUE
1,2012-1-12 0:00:00,Q,0.01
1,2012-1-13 0:00:00,Q,0.05
1,2012-1-14 0:00:00,Q,0.094
1,2012-1-15 0:00:00,Q,0.122
1,2012-1-16 0:00:00,Q,0.1
1,2012-1-17 0:00:00,Q,0.074
1,2012-1-18 0:00:00,Q,0.048
1,2012-1-19 0:00:00,Q,0.022
1,2012-1-20 0:00:00,Q,0.032
1,2012-1-21 0:00:00,Q,0.13
1,2012-1-22 0:00:00,Q,0.128
1,2012-1-23 0:00:00,Q,0.118
1,2012-1-24 0:00:00,Q,0.108
1,2012-1-25 0:00:00,Q,0.102
1,2012-1-26 0:00:00,Q,0.108
1,2012-1-27 0:00:00,Q,0.114
1,2012-1-28 0:00:00,Q,0.121
1,2012-1-29 0:00:00,Q,0.128
1,2012-1-30 0:00:00,Q,0.134
1,2012-1-31 0:00:00,Q,0.133
1,2012-2-1 0:00:00,Q,0.107
1,2012-2-2 0:00:00,Q,0.079
1,2012-2-3 0:00:00,Q,0.051
1,2012-2-4 0:00:00,Q,0.023
1,2012-2-5 0:00:00,Q,0.012
1,2012-2-6 0:00:00,Q,0.054
1,2012-2-7 0:00:00,Q,0.102
1,2012-2-8 0:00:00,Q,0.148
1,2012-2-9 0:00:00,Q,0.196
1,2012-2-10 0:00:00,Q,0.242
1,2012-2-11 0:00:00,Q,0.29
1,2012-2-12 0:00:00,Q,0.336
1,2012-2-13 0:00:00,Q,0.384
1,2012-2-14 0:00:00,Q,0.43
1,2012-2-15 0:00:00,Q,0.45
1,2012-2-16 0:00:00,Q,0.378
1,2012-2-17 0:00:00,Q,0.3
1,2012-2-18 0:00:00,Q,0.222
1,2012-2-19 0:00:00,Q,0.144
1,2012-2-20 0:00:00,Q,0.065
1,2012-2-21 0:00:00,Q,0.026
1,2012-2-22 0:00:00,Q,0.114
1,2012-2-23 0:00:00,Q,0.211
1,2012-2-24 0:00:00,Q,0.309
1,2012-2-25 0:00:00,Q,0.363
1,2012-2-26 0:00:00,Q,0.276
1,2012-2-27 0:00:00,Q,0.179
1,2012-2-28 0:00:00,Q,0.081
1,2012-2-29 0:00:00,Q,0.026
1,2012-3-1 0:00:00,Q,0.11
1,2012-3-2 0:00:00,Q,0.204
1,2012-3-3 0:00:00,Q,0.298
1,2012-3-4 0:00:00,Q,0.392
1,2012-3-5 0:00:00,Q,0.463
1,2012-3-6 0:00:00,Q,0.461
1,2012-3-7 0:00:00,Q,0.453
1,2012-3-8 0:00:00,Q,0.445
1,2012-3-9 0:00:00,Q,0.437
1,2012-3-10 0:00:00,Q,0.335
1,2012-3-11 0:00:00,Q,0.024
1,2012-3-14 0:00:00,Q,0.102
1,2012-3-15 0:00:00,Q,0.433
1,2012-3-16 0:00:00,Q,0.453
1,2012-3-17 0:00:00,Q,0.447
1,2012-3-18 0:00:00,Q,0.441
1,2012-3-19 0:00:00,Q,0.435
1,2012-3-20 0:00:00,Q,0.383
1,2012-3-21 0:00:00,Q,0.18
1,2012-3-22 0:00:00,Q,0.012
1,2012-3-28 0:00:00,Q,0.033
1,2012-3-29 0:00:00,Q,0.171
1,2012-3-30 0:00:00,Q,0.318
1,2012-3-31 0:00:00,Q,0.334
1,2012-4-1 0:00:00,Q,0.024
1,2012-4-9 0:00:00,Q,0.033
1,2012-4-10 0:00:00,Q,0.125
1,2012-4-11 0:00:00,Q,0.062
1,2012-4-12 0:00:00,Q,0.004
1,2012-4-15 0:00:00,Q,0.004
1,2012-4-16 0:00:00,Q,0.019
1,2012-4-17 0:00:00,Q,0.035
1,2012-4-18 0:00:00,Q,0.051
1,2012-4-19 0:00:00,Q,0.067
1,2012-4-20 0:00:00,Q,0.128
1,2012-4-21 0:00:00,Q,0.221
1,2012-4-22 0:00:00,Q,0.017
1,2012-4-29 0:00:00,Q,0.04
1,2012-4-30 0:00:00,Q,0.15
1,2012-5-1 0:00:00,Q,0.075
1,2012-5-2 0:00:00,Q,0.005
1,2012-5-7 0:00:00,Q,0.423
1,2012-5-8 0:00:00,Q,2.35
1,2012-5-9 0:00:00,Q,3.99
1,2012-5-10 0:00:00,Q,3.22
1,2012-5-11 0:00:00,Q,2.43
1,2012-5-12 0:00:00,Q,1.65
1,2012-5-13 0:00:00,Q,1.6
