StationID	Y	M	D	Type	value
1	2014	1	5	NO3	1.845
1	2014	1	10	NO3	1.415
1	2014	1	15	NO3	1.55
1	2014	1	20	NO3	1.55
1	2014	1	25	NO3	0.815
1	2014	1	31	NO3	0.58
1	2014	2	5	NO3	0.45
1	2014	2	10	NO3	3.235
1	2014	2	15	NO3	4.64
1	2014	2	20	NO3	6.11
1	2014	2	25	NO3	4.26
1	2014	2	28	NO3	4.26
1	2014	3	5	NO3	4.35
1	2014	3	10	NO3	3.625
1	2014	3	15	NO3	3.125
1	2014	3	20	NO3	2.315
1	2014	3	25	NO3	1.875
1	2014	3	31	NO3	4.06
1	2014	4	5	NO3	2.63
1	2014	4	10	NO3	1.68
1	2014	4	13	NO3	3.355
1	2014	4	15	NO3	2.815
1	2014	4	17	NO3	2.62
1	2014	4	19	NO3	2.39
1	2014	4	20	NO3	3.235
1	2014	4	22	NO3	2.825
1	2014	4	25	NO3	2.72
1	2014	4	30	NO3	2.95
1	2014	5	5	NO3	2.14
1	2014	5	10	NO3	1.14
1	2014	5	11	NO3	1.6
1	2014	5	12	NO3	2.61
1	2014	5	15	NO3	2.335
1	2014	5	20	NO3	2.22
1	2014	5	25	NO3	1.485
1	2014	7	2	NO3	1.463
1	2014	7	3	NO3	3.5335
1	2014	7	5	NO3	1.859
1	2014	7	13	NO3	1.299
1	2014	7	15	NO3	1.9455
1	2014	7	20	NO3	1.735
1	2014	7	25	NO3	3.3855
1	2014	7	27	NO3	2.455
1	2014	7	28	NO3	5.886
1	2014	7	31	NO3	1.6465
1	2014	8	5	NO3	0.7595
1	2014	8	8	NO3	1.6305
1	2014	8	10	NO3	1.223
1	2014	8	15	NO3	1.1475
1	2014	8	20	NO3	0.8185
1	2014	8	25	NO3	0.694
1	2014	8	30	NO3	1.3815
1	2014	8	31	NO3	1.8585
1	2014	9	1	NO3	3.3075
1	2014	9	3	NO3	2.4825
1	2014	9	5	NO3	3.0715
1	2014	9	10	NO3	2.5965
1	2014	9	15	NO3	2.045
1	2014	9	19	NO3	1.911
1	2014	9	20	NO3	1.389
1	2014	9	25	NO3	1.4125
1	2014	10	5	NO3	1.3415
1	2014	10	10	NO3	0.781
1	2014	10	15	NO3	0.519
1	2014	10	22	NO3	1.377
1	2014	10	25	NO3	1.4395
1	2014	10	31	NO3	3.1235
1	2014	11	5	NO3	1.3315
1	2014	12	10	NO3	1.452
1	2014	12	15	NO3	1.488
1	2014	12	20	NO3	1.3415
1	2014	12	25	NO3	1.366
1	2014	12	31	NO3	1.14
