LANDUSE_ID	CROPSTA	IGRO	LANDCOVER	LAI_INIT	BIO_INIT	PHU_PLT	EPCO	RSDIN	CURYR_INIT	CHT	DORMI
33	0	0	33	0	0	0	1	100	0	0	0
1	0	0	1	0	0	0	1	100	0	0	0
4	0	1	4	2	0	0	1	100	1	2	0
6	0	1	6	2	0	0	1	200	5	10	0
7	0	1	7	2	0	0	1	200	5	10	0
8	0	1	8	2	0	0	1	200	5	10	0
16	0	1	16	2	0	0	1	100	3	2	0
15	0	1	15	2	0	0	1	50	3	0.2	0
18	0	0	18	0	0	0	0	0	0	0	0
9	0	0	9	0	0	0	0	0	0	0	0
103	0	0	-9999	0	0	0	0	0	0	0	0
104	0	0	-9999	0	0	0	0	0	0	0	0
105	0	0	-9999	0	0	0	0	0	0	0	0
106	0	0	-9999	0	0	0	0	0	0	0	0
107	0	0	-9999	0	0	0	0	0	0	0	0
200	0	0	200	0	0	0	0	0	0	0	0
