LANDUSE_ID	CODE	LANDUSE_NAME	CN2A	CN2B	CN2C	CN2D	ROOTDEPTH	MANNING	INTERC_MAX	INTERC_MIN	SHC	SOIL_T10	USLE_C	PET_FR	PRC_ST1	PRC_ST2	PRC_ST3	PRC_ST4	PRC_ST5	PRC_ST6	PRC_ST7	PRC_ST8	PRC_ST9	PRC_ST10	PRC_ST11	PRC_ST12	SC_ST1	SC_ST2	SC_ST3	SC_ST4	SC_ST5	SC_ST6	SC_ST7	SC_ST8	SC_ST9	SC_ST10	SC_ST11	SC_ST12	DSC_ST1	DSC_ST2	DSC_ST3	DSC_ST4	DSC_ST5	DSC_ST6	DSC_ST7	DSC_ST8	DSC_ST9	DSC_ST10	DSC_ST11	DSC_ST12
INT	TEXT	TEXT	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL
1	AGRL	Agricultural Land-Generic	67	77	83	87	1000	0.15	1.5	0	50	1	0.2	1	0.23	0.27	0.3	0.33	0.37	0.4	0.43	0.47	0.5	0.53	0.57	0.6	50	47.1	44.2	41.3	38.4	35.5	32.5	29.6	26.7	23.8	20.9	18	3	2.86	2.73	2.59	2.45	2.32	2.18	2.05	1.91	1.77	1.64	1.5
2	AGRR	Agricultural Land-Row Crops	67	78	85	89	1000	0.15	1.5	0	50	1	0.2	1	0.23	0.27	0.3	0.33	0.37	0.4	0.43	0.47	0.5	0.53	0.57	0.6	50	47.1	44.2	41.3	38.4	35.5	32.5	29.6	26.7	23.8	20.9	18	3	2.86	2.73	2.59	2.45	2.32	2.18	2.05	1.91	1.77	1.64	1.5
3	AGRC	Agricultural Land-Close-grown	62	73	81	84	1000	0.15	1.5	0	50	1	0.03	1	0.2128	0.2499	0.2776	0.3054	0.3424	0.3701	0.3979	0.4349	0.4627	0.4904	0.5275	0.5552	54.0323	50.8984	47.7645	44.6306	41.4968	38.3629	35.121	31.9871	28.8532	25.7194	22.5855	19.4516	3.2419	3.0906	2.9502	2.7989	2.6476	2.5071	2.3558	2.2153	2.064	1.9127	1.7723	1.621
4	ORCD	Orchard	45	66	77	83	1000	0.4	2	0.5	300	-2	0.001	1	0.1545	0.1813	0.2015	0.2216	0.2485	0.2687	0.2888	0.3157	0.3358	0.356	0.3828	0.403	74.4444	70.1267	65.8089	61.4911	57.1733	52.8556	48.3889	44.0711	39.7533	35.4356	31.1178	26.8	4.4667	4.2582	4.0647	3.8562	3.6478	3.4542	3.2458	3.0522	2.8438	2.6353	2.4418	2.2333
5	HAY	Hay	31	59	72	79	1000	0.15	2	0.5	200	-1	0.003	1	0.13	0.17	0.2	0.23	0.27	0.3	0.33	0.37	0.4	0.43	0.47	0.5	58	55.1	52.2	49.3	46.4	43.5	40.5	37.6	34.7	31.8	28.9	26	5	4.73	4.45	4.18	3.91	3.64	3.36	3.09	2.82	2.55	2.27	2
6	FRST	Forest-Mixed	36	60	73	79	1500	0.6	3.5	0.5	500	-3	0.001	1	0.03	0.07	0.1	0.13	0.17	0.2	0.23	0.27	0.3	0.33	0.37	0.4	68	65	62	59	56	53	50	47	44	41	38	35	8	7.5	7	6.5	6	5.5	5	4.5	4	3.5	3	2.5
7	FRSD	Forest-Deciduous	45	66	77	83	1500	0.8	5	0.5	400	-3	0.001	1	0.0375	0.0875	0.125	0.1625	0.2125	0.25	0.2875	0.3375	0.375	0.4125	0.4625	0.5	54.4	52	49.6	47.2	44.8	42.4	40	37.6	35.2	32.8	30.4	28	6.4	6	5.6	5.2	4.8	4.4	4	3.6	3.2	2.8	2.4	2
8	FRSE	Forest-Evergreen	25	55	70	77	1500	0.4	2.5	1	600	-3	0.001	1	0.0208	0.0486	0.0694	0.0903	0.1181	0.1389	0.1597	0.1875	0.2083	0.2292	0.2569	0.2778	97.92	93.6	89.28	84.96	80.64	76.32	72	67.68	63.36	59.04	54.72	50.4	11.52	10.8	10.08	9.36	8.64	7.92	7.2	6.48	5.76	5.04	4.32	3.6
9	WETL	Wetlands-Mixed	49	69	79	84	1000	0.2	2.5	0.5	600	-3	0.003	1	0.0795	0.1328	0.1728	0.2128	0.2661	0.306	0.346	0.3993	0.4393	0.4793	0.5326	0.5726	63.7194	60.7734	57.8274	54.8815	51.9355	48.9895	46.004	43.0581	40.1121	37.1661	34.2202	31.2742	12	11.25	10.5	9.75	9	8.25	7.5	6.75	6	5.25	4.5	3.75
