## Table title (columns are split by Tab!)
TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
TEXT	TEXT	TEXT	TEXT	TEXT	REAL	REAL	VARCHAR(2)	REAL	REAL	VARCHAR(1)
Discharge	a_bnk	bank flow recession constant	none	ALL	0.2	0	AC	1	0	Y
Sediment	adj_pkr	peak rate adjustment factor	none	MUSLE_I30	1	0	AC	1	0.1	Y
Nutrient	ai0	Ratio of chlorophyll-a to algal biomass	ug/mg	NutCHRout	50	0	AC	100	1.00E+01	Y
Nutrient	ai1	Fraction of algal biomass that is nigrogen	mg/mg	NutCHRout	0.08	1	RC	0.09	7.00E-02	Y
Nutrient	ai2	Fraction of algal biomass that is phosphorus	mg/mg	NutCHRout	0.015	1	RC	0.02	1.00E-02	Y
Nutrient	ai3	Rate of oxygen production per unit algal photosynthesis	mg/mg	NutCHRout	1.6	0	AC	1.8	1.4	Y
Nutrient	ai4	Rate of oxygen uptake per unit algal respiration	mg/mg	NutCHRout	2	0	AC	2.3	1.6	Y
Nutrient	ai5	Rate of oxygen uptake per unit NH3-N oxidation	mg/mg	NutCHRout	3.5	0	AC	4	3	Y
Nutrient	ai6	Rate of oxygen uptake per unit NO2-N oxidation	mg/mg	NutCHRout	1.07	1	RC	1.14	1	Y
InstreamWQ	algae	Algal biomass concentration in reach on the first day	mg alg/L	ChannelRouting	0	0	AC	200	0	Y
Discharge	b_bnk	bank storage loss coefficient	none	ALL	0.05	0	AC	0.2	0.02	Y
Bacteria	bact_swf	fraction of manure containing active colony forming units (cfu)	None	MGT_SWAT	0.15	1	RC	1	0	Y
Discharge	Base_ex	Baseflow exponent	none	GW_RSVR	1	0	AC	4	1	Y
Nutrient	bc1	Rate constant for biological oxidation of NH4 to NO2 in the reach at 20 deg C	1/day	NutCHRout	0.55	1	RC	1	0.1	Y
Nutrient	bc2	Rate constant for biological oxidation of NO2 to NO3 in the reach at 20 deg C	1/day	NutCHRout	1.1	1	RC	2	0.2	Y
Nutrient	bc3	Rate constant for hydrolysis of organic N to NH4 in the reach at 20 deg C	1/day	NutCHRout	0.21	1	RC	0.4	0.2	Y
Nutrient	bc4	Rate constant for mineralization of organic P to dissolved P in the reach at 20 deg C	1/day	NutCHRout	0.35	1	RC	0.7	0.01	Y
Interception	BLAI	Leaf area index	none	PI_STORM	-9999	1	RC	12	0	Y
Discharge	bnk0	Initial bank storage	m3/m	ALL	0	0	AC	1	0	Y
Snow	c_rain	Rainfall impact factor	mm/mm/deg C/delta_t	SNO_DD	0.04	0	AC	1	0	Y
Snow	c_snow	temperature impact factor	mm/deg C/delta_t	SNO_DD	3	0	AC	6	0	Y
Snow	c_snow12	Melt factor on December 21	mm/deg C/day	SNO_SP	6.5	0	AC	9	6	Y
Snow	c_snow6	Melt factor on June 21	mm/deg C/day	SNO_SP	2.5	0	AC	4	1	Y
InstreamWQ	cbod	Carbonaceous bideg Chemical oxygen demand in reach on the first day	mg O2/L	ChannelRouting	0	1	AC	1	0	Y
Sediment	ccoe	calibration coefficient of overland flow detachment erosion	none	KinWavSed_OL	0.05	1	RC	100	0.001	Y
Nutrient	cdn	rate coefficient for denitrification	none	NMINRL	1	0	AC	3	0	Y
Discharge	Ch_iuh	Channel flow IUH	none	ChannelRouting	-9999		NC	-9999	-9999	Y
Discharge	CH_ManningFactor	Manning scaling factor of channel routing	none	IKW_CH	1	0	AC	3	0.1	Y
Nutrient	ch_onco	Channel organic nitrogen concentration in basin	mg/kg	NUTR_QUAL2E	0	0	AC	100	0	Y
Nutrient	ch_opco	Channel organic phosphorus concentration in basin	mg/kg	NUTR_QUAL2E	0	0	AC	100	0	Y
Sediment	ChDetCo	calibration coefficient of channel flow detachment	none	KinWavSed_CH	0.001	1	RC	1	0.0001	Y
