IFNUM,FERTNM,FMINN,FMINP,FORGN,FORGP,FNH3N,BACTPDB,BACTLPDB,BACTKDDB,FERTNAME,MANURE
1,Elem-N,1,0,0,0,0,0,0,0,Elemental Nitrogen,0
2,Elem-P,0,1,0,0,0,0,0,0,Elemental Phosphorous,0
3,ANH-NH3,0.82,0,0,0,1,0,0,0,Anhydrous Ammonia,0
4,UREA,0.46,0,0,0,1,0,0,0,Urea,0
5,46-00-00,0.46,0,0,0,0,0,0,0,46-00-00,0
6,33-00-00,0.33,0,0,0,0,0,0,0,33-00-00,0
7,31-13-00,0.31,0.05,0,0,0,0,0,0,31-13-00,0
8,30-80-00,0.3,0.35,0,0,0,0,0,0,30-80-00,0
9,30-15-00,0.3,0.06,0,0,0,0,0,0,30-15-00,0
10,2028-10-10,0.28,0.04,0,0,0,0,0,0,2028-10-10,0
11,28-03-00,0.28,0.01,0,0,0,0,0,0,28-03-00,0
12,26-13-00,0.26,0.05,0,0,0,0,0,0,26-13-00,0
13,25-05-00,0.25,0.02,0,0,0,0,0,0,25-05-00,0
14,25-03-00,0.25,0.01,0,0,0,0,0,0,25-03-00,0
15,24-06-00,0.24,0.02,0,0,0,0,0,0,24-06-00,0
16,22-14-00,0.22,0.06,0,0,0,0,0,0,22-14-00,0
17,20-20-00,0.2,0.08,0,0,0,0,0,0,20-20-00,0
18,18-46-00,0.18,0.2,0,0,0,0,0,0,18-46-00,0
19,18-04-00,0.18,0.01,0,0,0,0,0,0,18-04-00,0
20,16-20-20,0.16,0.08,0,0,0,0,0,0,16-20-20,0
21,15-15-15,0.15,0.06,0,0,0,0,0,0,15-15-15,0
22,15-15-00,0.15,0.06,0,0,0,0,0,0,15-15-00,0
23,13-13-13,0.13,0.05,0,0,0,0,0,0,13-13-13,0
24,12-20-2000,0.12,0.08,0,0,0,0,0,0,12-20-2000,0
25,11-52-00,0.11,0.22,0,0,0,0,0,0,11-52-00,0
26,11-15-2000,0.11,0.06,0,0,0,0,0,0,11-15-2000,0
27,10-34-00,0.1,0.15,0,0,0,0,0,0,10-34-00,0
28,10-28-2000,0.1,0.12,0,0,0,0,0,0,10-28-2000,0
29,10-20-2020,0.1,0.08,0,0,0,0,0,0,10-20-2020,0
30,10-10-2010,0.1,0.04,0,0,0,0,0,0,10-10-2010,0
31,08-15-2000,0.08,0.06,0,0,0,0,0,0,08-15-2000,0
32,08-08-2000,0.08,0.03,0,0,0,0,0,0,08-08-2000,0
33,07-07-2000,0.07,0.03,0,0,0,0,0,0,07-07-2000,0
34,07-00-00,0.07,0,0,0,0,0,0,0,07-00-00,0
35,06-24-2024,0.06,0.1,0,0,0,0,0,0,06-24-2024,0
36,05-10-2015,0.05,0.04,0,0,0,0,0,0,05-10-2015,0
37,05-10-2010,0.05,0.04,0,0,0,0,0,0,05-10-2010,0
38,05-10-2005,0.05,0.04,0,0,0,0,0,0,05-10-2005,0
39,04-08-2000,0.04,0.03,0,0,0,0,0,0,04-08-2000,0
40,03-06-2000,0.03,0.02,0,0,0,0,0,0,03-06-2000,0
41,02-09-2000,0.02,0.04,0,0,0,0,0,0,02-09-2000,0
42,00-15-00,0,0.06,0,0,0,0,0,0,00-15-00,0
43,00-06-00,0,0.02,0,0,0,0,0,0,00-06-00,0
44,DAIRY-FR,0.007,0.005,0.03,0.003,0.99,0,0,0,Dairy-Fresh Manure,1
45,BEEF-FR,0.01,0.004,0.03,0.007,0.99,0,0,0,Beef-Fresh Manure,1
46,VEAL-FR,0.02,0.006,0.02,0.007,0.99,0,0,0,Veal-Fresh Manure,1
47,SWINE-FR,0.02,0.01,0.02,0.005,0.99,0,0,0,Swine-Fresh Manure,1
48,SHEEP-FR,0.01,0.003,0.02,0.005,0.99,0,0,0,Sheep-Fresh Manure,1
49,GOAT-FR,0.01,0.003,0.02,0.005,0.99,0,0,0,Goat-Fresh Manure,1
50,HORSE-FR,0.006,0.001,0.01,0.003,0.99,0,0,0,Horse-Fresh Manure,1
51,LAYER-FR,0.01,0.006,0.04,0.01,0.99,0,0,0,Layer-Fresh Manure,1
52,BROIL-FR,0.01,0.004,0.04,0.01,0.99,0,0,0,Broiler-Fresh Manure,1
53,TURK-FR,0.007,0.003,0.04,0.01,0.99,0,0,0,Turkey-Fresh Manure,1
54,DUCK-FR,0.02,0.008,0.02,0.009,0.99,0,0,0,Duck-Fresh Manure,1
55,NPK,0.3166,0.1885,0,0,0,0,0,0,HongSiFang,0
56,ORG-FR,0.01,0.0195,0.03,0.007,0.99,0,0,0,Organic-Fertilizer,1
