ITNUM,TILLNM,EFTMIX,DEPTIL,OPNAME,RRNS,CNOP_CN2,PRC,DSC
1,Fallplow,0.95,150,Generic Fall Plowing Operation,75,1,1,1
2,Sprgplow,0.5,125,Generic Spring Plowing Operation,50,1,1,1
3,Constill,0.25,100,Generic Conservation Tillage,40,1,1,1
4,Zerotill,0.05,25,Generic No-till Mixing,10,1.015,1.015,0.985
5,Duckftc,0.55,100,Duckfoot Cultivator,15,1,1,1
6,Fldcge15,0.3,100,Field Cultivator Ge15ft,20,1,1,1
7,Fldclt15,0.3,100,Field Cultivator Lt15ft,20,1,1,1
8,Furowout,0.75,25,Furrow-out Cultivator,15,1,1,1
9,Marker,0.45,100,Marker (cultivator),15,1,1,1
10,Rollge15,0.5,25,Rolling Cultivator Ge15ft,15,1,1,1
11,Rolllt15,0.5,25,Rolling Cultivator Lt15ft,15,1,1,1
12,Rowcge15,0.25,25,Row Cultivator Ge15ft,15,1,1,1
13,Rowclt15,0.25,25,Row Cultivator Lt15ft,15,1,1,1
14,Discovat,0.5,25,Discovator,15,1,1,1
15,Leveler,0.5,25,Leveler,15,1,1,1
16,Hrw10bar,0.2,25,Harrow 10 Bar Tine 36 Ft,10,1.02,1.02,0.98
17,Cmulge18,0.25,25,Culti-mulch Roller Ge18ft,5,1,1,1
18,Cmullt18,0.25,25,Culti-mulch Roller Lt18ft,5,1,1,1
19,Culpkpul,0.35,40,Culti-packer Pulverizer,5,1,1,1
20,Landlevl,0.5,75,Land Plane-leveler,15,1,1,1
21,Landall,0.3,150,Landall Do-all,15,1,1,1
22,Lasrplan,0.3,150,Laser Planer,15,1,1,1
23,Levpldis,0.75,25,Levee-plow-disc,50,1,1,1
24,Float,0.1,60,Float,10,1,1,1
25,Fldcdscr,0.1,60,Field Cond (scratcher),20,1,1,1
26,Listrmid,0.15,40,Lister (middle-buster),25,1,1,1
27,Rollgrov,0.25,60,Roller Groover,0,1,1,1
28,Rolpkrat,0.05,40,Roller Packer Attachment,0,1,1,1
29,Rolpkrft,0.35,40,Roller Packer Flat Roller,0,1,1,1
30,Sandfigt,0.7,100,Sand-fighter,10,1,1,1
31,Seedroll,0.7,100,Seedbed Roller,0,1,1,1
32,Crustbst,0.1,60,Crust Buster,10,1,1,1
33,Rollhrrw,0.4,60,Roller Harrow 15 Ft,5,1,1,1
34,Triple K,0.4,100,Triple K,25,1,1,1
