# ALL INITIAL MODEL PARAMETERS.
# Table title (columns are split by COMMA and each element should not contain COMMA!)
# Last updated: 2023-06-05
TYPE,NAME,DESCRIPTION,UNIT,MODULE,VALUE,IMPACT,CHANGE,MAX,MIN,DTYPE
Bacteria,bact_swf,fraction of manure containing active colony forming units (cfu),None,MGT_SWAT,0.15,1,RC,1,0,FLT
Climate,CO2,CO2 Concentration,ppmv,ALL,330,1,AC,800,0,FLT
Climate,CO2HI,Elevated CO2 atmospheric concentration,ppmv,ALL,660,1,AC,1000,300,FLT
Climate,Cond_rate,rate of decline in stomatal conductance,m/s/kPa,PET_PM,3.75,0,NC,5,0,FLT
Climate,esco,soil evaporation compensation factor,none,AET_PTH,0.95,1,AC,1,0.01,FLT
Climate,HCoef_pet,Coefficient related to radiation used in Hargreaves method,none,PET_H,0.0023,1,RC,0.0032,0.0019,FLT
Climate,K_pet,Correction factor for PET,none,ALL,1,0,AC,1.3,0.7,FLT
Climate,Weight_P,Weight Coefficient of Precipitation,none,ALL,-9999,0,NC,-9999,-9999,FLT
Climate,Weight_PET,Weight Coefficient of Potential Evapotranspiration,none,ALL,-9999,0,NC,-9999,-9999,FLT
Climate,Weight_T,Weight Coefficient of Temperature,none,ALL,-9999,0,NC,-9999,-9999,FLT
Discharge,a_bnk,bank flow recession constant,none,ALL,0.2,0,AC,1,0,FLT
Discharge,b_bnk,bank storage loss coefficient,none,ALL,0.05,0,AC,0.2,0.02,FLT
Discharge,Base_ex,Baseflow exponent,none,GW_RSVR,1,0,AC,4,1,FLT
Discharge,bnk0,Initial bank storage,m3/m,ALL,0,0,AC,1,0,FLT
Discharge,chs0,initial channel storage,m3/m,All,0,0,AC,100,0,FLT
Discharge,chs0_perc,initial percentage of channel depth,none,ALL,0.05,0,AC,1,0,FLT
Discharge,df_coef,Deep percolation coefficient,mm,GW_RSVR,0,0,AC,1,0,FLT
Discharge,ep_ch,reach evaporation adjustment factor,none,ALL,1,0,AC,1,0,FLT
Discharge,gw0,Initial groundwater storage,mm,GW_RSVR,100,0,AC,50000,1,FLT
Discharge,gwmax,Maximum groundwater storage,mm,GW_RSVR,300,0,AC,50000,1,FLT
Discharge,Kg,Baseflow recession coefficient,none,GW_RSVR,0.005,0,AC,0.1,0.001,FLT
Discharge,Ki,Interflow scaling factor,none,SSR_DA,3,0,AC,10,0,FLT
Discharge,MANNING,Manning's n,none,ALL,-9999,0,AC,10,0.001,FLT
Discharge,MSK_co1,Calibration coefficient used to control impact of the storage time constant for normal flow,none,ChannelRouting,0.75,0,AC,1,0,FLT
Discharge,MSK_X,Muskingum weighting factor,none,ChannelRouting,0.2,0,AC,0.3,0,FLT
Discharge,THETA,Parameter theta for the implicit finite deffirent equation,none,ALL,0.75,0,AC,1,0,FLT
Groundwater,GW_recharge,Groundwater recharge,m3/s,MUSK_CH,0,0,AC,100,0,FLT
Groundwater,gwrq,groundwater recharge to channel or perennial base flow,m3/s,MUSK_CH,0,0,AC,100,0,FLT
InstreamWQ,algae,Algal biomass concentration in reach on the first day,mg alg/L,ChannelRouting,0,0,AC,200,0,FLT
InstreamWQ,cbod,Carbonaceous bideg Chemical oxygen demand in reach on the first day,mg O2/L,ChannelRouting,0,0,AC,1,0,FLT
