# ALL INITIAL MODEL PARAMETERS.
# Table title (columns are split by COMMA!)
# Last updated: 2017-12-26
TYPE,NAME,DESCRIPTION,UNIT,MODULE,VALUE,IMPACT,CHANGE,MAX,MIN
Bacteria,bact_swf,fraction of manure containing active colony forming units (cfu),None,MGT_SWAT,0.15,1,RC,1,0
Climate,Co2,CO2 Concentration,ppmv,ALL,330,1,RC,350,300
Climate,Cond_max,maximum stomatal conductance,m/s,PET_PM,0.005,0,NC,0,0
Climate,Cond_rate,rate of decline in stomatal conductance,m/s/kPa,PET_PM,3.75,0,NC,5,0
Climate,esco,soil evaporation compensation factor,none,AET_PTH,0.95,1,RC,1,0.01
Climate,HCoef_pet,Coefficient related to radiation used in Hargreaves method,none,PET_H,0.0023,1,RC,0.0032,0.0019
Climate,K_pet,Correction factor for PET,none,ALL,1,0,AC,1.3,0.7
Climate,Weight_P,Weight Coefficient of Precipitation,none,ALL,-9999,0,NC,-9999,-9999
Climate,Weight_PET,Weight Coefficient of Potential Evapotranspiration,none,ALL,-9999,0,NC,-9999,-9999
Climate,Weight_T,Weight Coefficient of Temperature,none,ALL,-9999,0,NC,-9999,-9999
Discharge,a_bnk,bank flow recession constant,none,ALL,0.2,0,AC,1,0
Discharge,b_bnk,bank storage loss coefficient,none,ALL,0.05,0,AC,0.2,0.02
Discharge,Base_ex,Baseflow exponent,none,GW_RSVR,1,0,AC,4,1
Discharge,bnk0,Initial bank storage,m3/m,ALL,0,0,AC,1,0
Discharge,Ch_iuh,Channel flow IUH,none,ChannelRouting,-9999,0,NC,-9999,-9999
Discharge,chs0,initial channel storage,m3/m,All,0,0,AC,100,0
Discharge,chs0_perc,initial percentage of channel depth,none,ALL,0.05,0,AC,1,0
Discharge,df_coef,Deep percolation coefficient,mm,GW_RSVR,0,0,AC,1,0
Discharge,ep_ch,reach evaporation adjustment factor,m3/m,ALL,1,0,AC,1,0
Discharge,gw0,Initial groundwater storage,mm,GW_RSVR,100,0,AC,50000,0
Discharge,gwmax,Maximum groundwater storage,mm,GW_RSVR,300,0,AC,100000,0
Discharge,Kg,Baseflow recession coefficient,none,GW_RSVR,0.005,0,AC,0.1,0.001
Discharge,Ki,Interflow scaling factor,none,SSR_DA,3,0,AC,10,0
Discharge,MANNING,Manning's n,none,ALL,-9999,0,AC,10,0.001
